date	edinet_code	docTypeCode	docID
2015-07-06	E01706	140	S1005E7I
2015-07-08	E03489	140	S1005DD1
2015-07-08	E30969	140	S1005EDY
2015-07-08	E03498	140	S1005EKL
2015-07-08	E01370	140	S1005EDJ
2015-07-09	E01083	140	S1005EXH
2015-07-09	E01995	140	S1005EN2
2015-07-09	E31425	140	S1005EJT
2015-07-09	E05070	120	S1005EJ7
2015-07-09	E01325	140	S1005EVV
2015-07-09	E02988	140	S1005EP5
2015-07-09	E04835	140	S1005EPC
2015-07-09	E05673	140	S1005EYI
2015-07-09	E02233	140	S1005EMJ
2015-07-09	E05444	140	S1005EPZ
2015-07-09	E03370	140	S1005BUH
2015-07-09	E03248	140	S1005EP7
2015-07-09	E04931	140	S1005E1M
2015-07-09	E02925	140	S1005ERB
2015-07-09	E02372	140	S1005EJ6
2015-07-10	E02809	140	S1005EW4
2015-07-10	E03520	140	S1005EMB
2015-07-10	E03392	140	S1005F1R
2015-07-10	E27235	140	S1005EU1
2015-07-10	E04029	140	S1005F37
2015-07-10	E03516	140	S1005F6A
2015-07-10	E01454	140	S1005E3X
2015-07-10	E03044	140	S1005F1X
2015-07-10	E27693	140	S1005F2C
2015-07-10	E02092	140	S1005EZH
2015-07-10	E04884	140	S1005ESQ
2015-07-10	E22049	140	S1005CIR
2015-07-10	E03391	140	S1005F4F
2015-07-10	E05622	140	S1005FAV
2015-07-10	E01001	140	S1005EUX
2015-07-10	E03153	140	S1005F5K
2015-07-10	E05315	140	S1005F9B
2015-07-10	E04021	140	S1005EXL
2015-07-10	E03313	140	S1005F01
2015-07-10	E02618	140	S1005ESO
2015-07-10	E03032	140	S1005EUM
2015-07-10	E03245	140	S1005EHO
2015-07-10	E03408	140	S1005ESK
2015-07-10	E03007	140	S1005F0Z
2015-07-10	E03087	140	S1005EFK
2015-07-10	E03188	140	S1005ENW
2015-07-10	E01609	140	S1005EUA
2015-07-10	E01603	140	S1005E7T
2015-07-10	E01006	140	S1005EYY
2015-07-10	E03228	140	S1005F3B
2015-07-10	E03163	140	S1005EBD
2015-07-10	E26966	140	S1005EOO
2015-07-10	E01040	140	S1005F3O
2015-07-10	E04941	140	S1005ETR
2015-07-10	E04015	140	S1005EYT
2015-07-10	E02478	140	S1005F42
2015-07-10	E01505	140	S1005EID
2015-07-13	E01009	140	S1005F5T
2015-07-13	E03099	140	S1005FIH
2015-07-13	E05067	140	S1005FLU
2015-07-13	E03395	140	S1005FII
2015-07-13	E05716	140	S1005FDT
2015-07-13	E03132	140	S1005FC4
2015-07-13	E00944	140	S1005EPD
2015-07-13	E03077	140	S1005FDL
2015-07-13	E26579	140	S1005FM8
2015-07-13	E04799	140	S1005FPV
2015-07-13	E26821	140	S1005FL6
2015-07-13	E03283	140	S1005FDQ
2015-07-13	E03000	140	S1005FD6
2015-07-13	E01503	140	S1005F6X
2015-07-13	E03471	140	S1005FK1
2015-07-13	E03017	140	S1005F9M
2015-07-13	E00311	140	S1005FFQ
2015-07-13	E30999	140	S1005FJA
2015-07-13	E31159	140	S1005FKJ
2015-07-13	E03318	140	S1005F87
2015-07-13	E02774	140	S1005FGJ
2015-07-13	E03013	140	S1005E5Y
2015-07-13	E03993	140	S1005FF2
2015-07-13	E04002	140	S1005FF4
2015-07-13	E04296	140	S1005F10
2015-07-13	E04981	140	S1005F3P
2015-07-13	E01031	140	S1005FF9
2015-07-13	E24512	140	S1005FDA
2015-07-13	E00667	140	S1005EQO
2015-07-13	E03273	140	S1004W8T
2015-07-13	E03422	140	S1005F81
2015-07-13	E04987	140	S1005FIC
2015-07-13	E03495	140	S1005FIV
2015-07-13	E03271	140	S1005FHN
2015-07-13	E25443	140	S10053JE
2015-07-13	E00605	140	S1005F0L
2015-07-13	E02923	140	S1005FA4
2015-07-13	E05555	140	S1005FBD
2015-07-14	E03146	140	S1005E2R
2015-07-14	E30476	140	S1005G0G
2015-07-14	E26428	140	S1005FX3
2015-07-14	E03481	140	S1005FYX
2015-07-14	E25234	140	S1005FYU
2015-07-14	E30120	140	S1005FX7
2015-07-14	E30020	140	S1005FND
2015-07-14	E03141	140	S1005FQL
2015-07-14	E24998	140	S1005FWP
2015-07-14	E03068	140	S1005FEC
2015-07-14	E02340	140	S1005FVZ
2015-07-14	E05024	140	S1005FVT
2015-07-14	E04606	140	S1005FGQ
2015-07-14	E03352	140	S1005G0P
2015-07-14	E02896	140	S1005FY5
2015-07-14	E02438	140	S1005ESW
2015-07-14	E03518	140	S1005FTO
2015-07-14	E03025	140	S1005FK8
2015-07-14	E03270	140	S1005FW2
2015-07-14	E05702	140	S1005G38
2015-07-14	E05517	140	S1005FRS
2015-07-14	E03377	140	S1005G0O
2015-07-14	E04958	140	S1005FDI
2015-07-14	E31220	140	S1005G1B
2015-07-14	E27202	140	S1005F7X
2015-07-14	E31256	140	S1005G1P
2015-07-14	E03021	140	S1005F19
2015-07-14	E00327	140	S1005FO5
2015-07-14	E20385	140	S1005FOV
2015-07-14	E01690	140	S1005G0W
2015-07-14	E01839	140	S1005EQX
2015-07-14	E05498	140	S1005FQJ
2015-07-14	E02493	140	S1005G18
2015-07-14	E27761	140	S1005EUC
2015-07-14	E03216	140	S1005FQ7
2015-07-14	E05264	140	S1005FSW
