コード	企業名	sector	industry	上場後の取引量	現在何倍株	最大何倍株	3,5,7,10,N倍まで何年	2倍まで何年	3倍まで何年	4倍まで何年	5倍まで何年	6倍まで何年	7倍まで何年	8倍まで何年	9倍まで何年	10倍まで何年
4040	南海化学	基礎材料	化学製品	11723700	0.9	2.8	"-1
-1
-1
-1
0.74"	0.25	-1	-1	-1	-1	-1	-1	-1	-1
5571	エキサイトホールディングス	技術	Software—Application	19890400	1.1	2.1	"-1
-1
-1
-1
-0.82"	-0.82	-1	-1	-1	-1	-1	-1	-1	-1
5570	ジェノバ	通信サービス	インターネットコンテンツ・情報	22529000	0.8	3.0	"-0.53
-1
-1
-1
-0.53"	-0.53	-0.53	-1	-1	-1	-1	-1	-1	-1
5530	日本システムバンク			-1				-1	-1	-1	-1	-1	-1	-1	-1	-1
9348	ispace	技術	コンピュータハードウェア	345201800	0.8	3.0	"-1
-1
-1
-1
-0.96"	-0.97	-1	-1	-1	-1	-1	-1	-1	-1
5882	トライアルホールディングス			-1				-1	-1	-1	-1	-1	-1	-1	-1	-1
9349	キタムラ・ホールディングス			-1				-1	-1	-1	-1	-1	-1	-1	-1	-1
5258	トランザクション・メディア・ネットワークス	技術	Software—Infrastructure	86737800	0.9	3.6	"-0.84
-1
-1
-1
-0.75"	-1.0	-0.84	-1	-1	-1	-1	-1	-1	-1
6225	エコム			-1				-1	-1	-1	-1	-1	-1	-1	-1	-1
5256	Fusic	技術	Software—Application	6410000	0.8	1.9	"-1
-1
-1
-1
-0.5"	-1	-1	-1	-1	-1	-1	-1	-1	-1
9346	ココルポート	産業	人材派遣・雇用サービス	23990400	0.8	3.6	"-0.51
-1
-1
-1
-0.48"	-0.55	-0.51	-1	-1	-1	-1	-1	-1	-1
5257	ノバシステム	技術	Software—Application	18859300	1.1	1.8	"-1
-1
-1
-1
0.94"	-1	-1	-1	-1	-1	-1	-1	-1	-1
9345	ビズメイツ	消費者防衛	教育・訓練サービス	11050400	1.3	4.1	"-0.88
-1
-1
-1
-0.88"	-0.88	-0.88	-0.88	-1	-1	-1	-1	-1	-1
7163	住信SBIネット銀行	金融サービス	Banks—Regional	277067900	2.4	2.8	"-1
-1
-1
-1
1.43"	1.04	-1	-1	-1	-1	-1	-1	-1	-1
5027	AnyMind Group	技術	Software—Application	18971100	1.9	2.5	"-1
-1
-1
-1
-0.34"	-0.34	-1	-1	-1	-1	-1	-1	-1	-1
5255	モンスターラボホールディングス	技術	情報技術サービス	79745200	0.5	5.1	"-0.89
-0.78
-1
-1
-0.78"	-0.89	-0.89	-0.89	-0.78	-1	-1	-1	-1	-1
9344	アクシスコンサルティング	産業	人材派遣・雇用サービス	24564400	1.0	4.3	"-0.95
-1
-1
-1
-0.91"	-0.96	-0.95	-0.92	-1	-1	-1	-1	-1	-1
5254	Arent	技術	Software—Application	101492900	3.5	5.1	"0.04
1.48
-1
-1
1.48"	0.03	0.04	0.18	1.48	-1	-1	-1	-1	-1
5253	カバー	技術	Software—Application	540471600	1.9	2.4	"-1
-1
-1
-1
0.67"	0.21	-1	-1	-1	-1	-1	-1	-1	-1
9343	アイビス	技術	Software—Application	25221200	2.7	4.0	"0.54
-1
-1
-1
0.95"	-0.6	0.54	-1	-1	-1	-1	-1	-1	-1
5252	日本ナレッジ	技術	Software—Application	3563200	0.8	2.6	"-1
-1
-1
-1
-0.53"	-0.53	-1	-1	-1	-1	-1	-1	-1	-1
7119	ハルメクホールディングス	産業	コングロマリット	60673000	0.9	3.0	"-1
-1
-1
-1
-0.97"	-0.98	-1	-1	-1	-1	-1	-1	-1	-1
7120	SHINKO	技術	情報技術サービス	43017800	1.1	1.5	"-1
-1
-1
-1
-0.17"	-1	-1	-1	-1	-1	-1	-1	-1	-1
5250	プライム・ストラテジー	技術	Software—Infrastructure	20296000	0.8	3.3	"-0.48
-1
-1
-1
-0.48"	-0.84	-0.48	-1	-1	-1	-1	-1	-1	-1
5248	テクノロジーズ	技術	Software—Application	105733200	2.8	3.4	"0.69
-1
-1
-1
0.9"	-0.24	0.69	-1	-1	-1	-1	-1	-1	-1
