コード	企業名	sector	industry	上場後の取引量	現在何倍株	最大何倍株	3,5,7,10,N倍まで何年	2倍まで何年	3倍まで何年	4倍まで何年	5倍まで何年	6倍まで何年	7倍まで何年	8倍まで何年	9倍まで何年	10倍まで何年
9342	スマサポ	不動産	不動産サービス	19203600	0.9	2.6	"-1
-1
-1
-1
-0.94"	-0.96	-1	-1	-1	-1	-1	-1	-1	-1
5246	ELEMENTS	技術	Software—Application	516554600	1.6	6.5	"-0.9
0.52
-1
-1
0.56"	-0.97	-0.9	-0.81	0.52	0.54	-1	-1	-1	-1
5247	BTM	技術	情報技術サービス	37698600	0.8	4.2	"0.19
-1
-1
-1
0.19"	0.04	0.19	0.19	-1	-1	-1	-1	-1	-1
7115	アルファパーチェス	産業	特殊産業機械	14607100	1.7	2.1	"-1
-1
-1
-1
0.42"	0.4	-1	-1	-1	-1	-1	-1	-1	-1
7116	ダイワ通信	産業	セキュリティおよび保護サービス	31499700	1.0	1.9	"-1
-1
-1
-1
0.1"	-1	-1	-1	-1	-1	-1	-1	-1	-1
5075	アップコン			-1				-1	-1	-1	-1	-1	-1	-1	-1	-1
9340	アソインターナショナル	ヘルスケア	医療機器・用品	7421200	1.8	2.6	"-1
-1
-1
-1
0.81"	0.65	-1	-1	-1	-1	-1	-1	-1	-1
9341	GENOVA	ヘルスケア	Medical Devices	38156000	1.3	2.0	"-1
-1
-1
-1
0.34"	0.34	-1	-1	-1	-1	-1	-1	-1	-1
5836	エージェント・インシュアランス・グループ			-1				-1	-1	-1	-1	-1	-1	-1	-1	-1
5244	jig.jp	技術	Software—Application	50343500	1.0	2.0	"-1
-1
-1
-1
0.31"	0.31	-1	-1	-1	-1	-1	-1	-1	-1
9339	コーチ・エィ	消費者防衛	教育・訓練サービス	3704400	1.3	1.9	"-1
-1
-1
-1
-0.43"	-1	-1	-1	-1	-1	-1	-1	-1	-1
2937	サンクゼール	消費者防衛	包装食品	45796800	0.8	1.9	"-1
-1
-1
-1
-0.31"	-1	-1	-1	-1	-1	-1	-1	-1	-1
5242	アイズ	技術	Software—Application	7439900	1.0	2.9	"-1
-1
-1
-1
-0.41"	-0.99	-1	-1	-1	-1	-1	-1	-1	-1
5243	note	技術	Software—Application	190362100	1.1	2.1	"-1
-1
-1
-1
0.22"	0.18	-1	-1	-1	-1	-1	-1	-1	-1
5240	monoAItechnology	技術	Software—Infrastructure	275982100	1.0	5.2	"-1.0
-0.79
-1
-1
-0.79"	-1.0	-1.0	-0.93	-0.79	-1	-1	-1	-1	-1
9338	INFORICH	産業	専門ビジネスサービス	3789500	4.5	4.9	"0.29
-1
-1
-1
0.88"	0.15	0.29	0.52	-1	-1	-1	-1	-1	-1
9337	トリドリ	技術	Software—Application	6086300	1.2	2.1	"-1
-1
-1
-1
1.12"	0.62	-1	-1	-1	-1	-1	-1	-1	-1
7114	フーディソン	消費者防衛	食品流通	6651500	0.8	2.4	"-1
-1
-1
-1
-0.81"	-0.96	-1	-1	-1	-1	-1	-1	-1	-1
5139	オープンワーク	技術	Software—Application	42084000	0.9	2.4	"-1
-1
-1
-1
-0.59"	-0.6	-1	-1	-1	-1	-1	-1	-1	-1
5138	Rebase	通信サービス	インターネットコンテンツ・情報	10005400	1.6	2.2	"-1
-1
-1
-1
-0.99"	-0.99	-1	-1	-1	-1	-1	-1	-1	-1
5027	AnyMind Group	技術	Software—Application	18971100	1.9	2.5	"-1
-1
-1
-1
-0.34"	-0.34	-1	-1	-1	-1	-1	-1	-1	-1
5137	スマートドライブ	技術	Software—Infrastructure	65652900	1.6	3.2	"0.52
-1
-1
-1
0.52"	0.19	0.52	-1	-1	-1	-1	-1	-1	-1
9204	スカイマーク	産業	Airports & Air Services	476600	1.5	4.5	"3.99
-1
-1
-1
4.1"	0.32	3.99	4.09	-1	-1	-1	-1	-1	-1
9336	大栄環境	産業	廃棄物管理	104580700	1.9	2.0	"-1
-1
-1
-1
1.76"	-1	-1	-1	-1	-1	-1	-1	-1	-1
5527	propertytechnologies	不動産	不動産サービス	14675100	1.1	3.8	"-0.88
-1
-1
-1
-0.87"	-0.88	-0.88	-1	-1	-1	-1	-1	-1	-1
4892	サイフューズ	ヘルスケア	Drug Manufacturers—Specialty & Generic	63166100	0.7	3.2	"-0.9
-1
-1
-1
-0.9"	-0.9	-0.9	-1	-1	-1	-1	-1	-1	-1
9565	ウェルプレイド・ライゼスト	通信サービス	電子ゲーム・マルチメディア	25301200	1.1	6.8	"-1.0
-1.0
-1
-1
-1.0"	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1
5136	tripla	技術	Software—Application	33033300	1.2	3.0	"-1
-1
-1
-1
-0.63"	-0.82	-1	-1	-1	-1	-1	-1	-1	-1
4891	ティムス	ヘルスケア	バイオテクノロジー	112991300	1.0	5.1	"-0.52
-0.49
-1
-1
-0.49"	-0.52	-0.52	-0.5	-0.49	-1	-1	-1	-1	-1
2936	ベースフード	消費者防衛	包装食品	47263300	1.3	2.5	"-1
-1
-1
-1
0.73"	-0.18	-1	-1	-1	-1	-1	-1	-1	-1
5134	POPER	技術	Software—Application	25439400	1.0	2.0	"-1
-1
-1
-1
-0.93"	-0.93	-1	-1	-1	-1	-1	-1	-1	-1
5132	pluszero	技術	Software—Infrastructure	126814200	2.3	3.0	"-1
-1
-1
-1
0.16"	-0.17	-1	-1	-1	-1	-1	-1	-1	-1
9564	FCE Holdings	産業	コングロマリット	13713900	1.9	2.1	"-1
-1
-1
-1
1.83"	1.83	-1	-1	-1	-1	-1	-1	-1	-1
5131	リンカーズ	産業	専門ビジネスサービス	75093100	0.6	2.3	"-1
-1
-1
-1
-0.95"	-0.96	-1	-1	-1	-1	-1	-1	-1	-1
9563	AtlasTechnologies	技術	情報技術サービス	58308800	0.7	5.7	"-1.0
-1.0
-1
-1
-0.98"	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1
9562	ビジネスコーチ	消費者防衛	教育・訓練サービス	4442000	1.0	3.0	"-0.99
-1
-1
-1
-0.99"	-0.99	-0.99	-1	-1	-1	-1	-1	-1	-1
5834	SBIリーシングサービス	産業	レンタルおよびリースサービス	26889500	1.3	2.0	"-1
-1
-1
-1
0.86"	-1	-1	-1	-1	-1	-1	-1	-1	-1
6526	ソシオネクスト	産業	Electrical Equipment & Parts	556852500	2.9	6.6	"0.6
0.67
-1
-1
0.69"	0.3	0.6	0.63	0.67	0.67	-1	-1	-1	-1
7112	キューブ	消費者循環	衣料品製造	8545500	0.8	3.2	"-0.95
-1
-1
-1
-0.95"	-0.99	-0.95	-1	-1	-1	-1	-1	-1	-1
5129	FIXER	技術	Software—Infrastructure	65109300	0.7	2.1	"-1
-1
-1
-1
0.21"	0.21	-1	-1	-1	-1	-1	-1	-1	-1
5127	グッピーズ			-1				-1	-1	-1	-1	-1	-1	-1	-1	-1
9560	プログリット	消費者防衛	教育・訓練サービス	72137700	5.0	11.1	"0.31
0.39
0.45
0.48
0.48"	0.08	0.31	0.35	0.39	0.43	0.45	0.47	0.48	0.48
5126	ポーターズ	技術	Software—Infrastructure	3865900	1.2	1.8	"-1
-1
-1
-1
-0.22"	-1	-1	-1	-1	-1	-1	-1	-1	-1
9561	グラッドキューブ	技術	Software—Application	65003200	2.1	2.9	"-1
-1
-1
-1
-0.87"	-0.89	-1	-1	-1	-1	-1	-1	-1	-1
5125	ファインズ	通信サービス	娯楽	19087200	0.7	3.3	"-0.89
-1
-1
-1
-0.89"	-0.89	-0.89	-1	-1	-1	-1	-1	-1	-1
5039	キットアライブ			-1				-1	-1	-1	-1	-1	-1	-1	-1	-1
7388	FPパートナー	金融サービス	Insurance Brokers	47127600	2.2	5.5	"0.69
1.4
-1
-1
1.45"	0.33	0.69	1.31	1.4	-1	-1	-1	-1	-1
5038	eWeLL	ヘルスケア	健康情報サービス	48796800	1.2	1.8	"-1
-1
-1
-1
0.73"	-1	-1	-1	-1	-1	-1	-1	-1	-1
9558	ジャパニアス	技術	Software—Infrastructure	44455600	1.7	3.1	"1.32
-1
-1
-1
1.34"	0.29	1.32	-1	-1	-1	-1	-1	-1	-1
7110	クラシコム	消費者循環	インターネット小売	39390500	1.1	1.8	"-1
-1
-1
-1
-0.14"	-1	-1	-1	-1	-1	-1	-1	-1	-1
5036	日本ビジネスシステムズ	技術	Software—Infrastructure	90098800	0.9	2.0	"-1
-1
-1
-1
0.21"	0.21	-1	-1	-1	-1	-1	-1	-1	-1
9557	エアークローゼット	消費者循環	インターネット小売	26442300	1.1	2.9	"-1
-1
-1
-1
-0.83"	-0.84	-1	-1	-1	-1	-1	-1	-1	-1
5034	unerry	通信サービス	インターネットコンテンツ・情報	19016200	1.5	3.7	"0.53
-1
-1
-1
0.79"	0.39	0.53	-1	-1	-1	-1	-1	-1	-1
5035	HOUSEI	技術	Software—Application	166032000	0.7	2.6	"-1
-1
-1
-1
0.03"	0.02	-1	-1	-1	-1	-1	-1	-1	-1
9556	INTLOOP	産業	コンサルティングサービス	8291400	2.4	3.3	"0.58
-1
-1
-1
0.77"	0.35	0.58	-1	-1	-1	-1	-1	-1	-1
9554	AViC	通信サービス	広告代理店	6878500	1.3	1.7	"-1
-1
-1
-1
-0.3"	-1	-1	-1	-1	-1	-1	-1	-1	-1
9553	マイクロアド	技術	Software—Application	44565300	0.8	8.1	"0.38
0.58
0.64
-1
0.72"	0.18	0.38	0.42	0.58	0.62	0.64	0.72	-1	-1
5033	ヌーラボ	技術	Software—Application	8824300	1.4	3.5	"1.41
-1
-1
-1
1.41"	0.61	1.41	-1	-1	-1	-1	-1	-1	-1
9552	M&A総合研究所	金融サービス	資本市場	203300100	3.3	11.4	"0.25
0.57
0.95
1.62
1.68"	0.11	0.25	0.37	0.57	0.94	0.95	1.57	1.58	1.62
9229	サンウェルズ	ヘルスケア	医療施設	89200200	1.0	4.2	"0.35
-1
-1
-1
0.96"	0.14	0.35	0.92	-1	-1	-1	-1	-1	-1
7794	イーディーピー	消費者循環	高級品	193810000	0.4	3.7	"0.37
-1
-1
-1
0.6"	0.12	0.37	-1	-1	-1	-1	-1	-1	-1
9227	マイクロ波化学	基礎材料	化学製品	123592500	1.1	4.4	"0.4
-1
-1
-1
0.41"	0.29	0.4	0.4	-1	-1	-1	-1	-1	-1
4890	坪田ラボ	ヘルスケア	Medical Devices	222333700	0.7	2.3	"-1
-1
-1
-1
-0.48"	-0.82	-1	-1	-1	-1	-1	-1	-1	-1
9228	ウェルネス・コミュニケーションズ			-1				-1	-1	-1	-1	-1	-1	-1	-1	-1
2999	ホームポジション	消費者循環	住宅建設	12387600	0.8	1.4	"-1
-1
-1
-1
0.17"	-1	-1	-1	-1	-1	-1	-1	-1	-1
7386	ジャパンワランティサポート	産業	専門ビジネスサービス	1774500	2.3	4.7	"0.63
-1
-1
-1
1.87"	0.41	0.63	1.19	-1	-1	-1	-1	-1	-1
2984	ヤマイチ・ユニハイムエステート	不動産	Real Estate—Development	2451700	1.0	1.4	"-1
-1
-1
-1
1.25"	-1	-1	-1	-1	-1	-1	-1	-1	-1
5032	ANYCOLOR	通信サービス	娯楽	111347400	1.1	3.2	"-0.44
-1
-1
-1
-0.39"	-0.75	-0.44	-1	-1	-1	-1	-1	-1	-1
5026	トリプルアイズ	技術	情報技術サービス	49954800	2.2	3.7	"-0.88
-1
-1
-1
-0.88"	-0.88	-0.88	-1	-1	-1	-1	-1	-1	-1
2998	クリアル	金融サービス	資産運用	55515900	3.8	8.9	"0.65
0.94
0.96
-1
1.03"	0.56	0.65	0.78	0.94	0.96	0.96	1.03	-1	-1
7140	ペットゴー	ヘルスケア	医療施設	13990300	1.1	2.5	"-1
-1
-1
-1
0.86"	0.84	-1	-1	-1	-1	-1	-1	-1	-1
2997	ストレージ王	不動産	不動産サービス	14239200	1.9	2.3	"-1
-1
-1
-1
1.53"	1.51	-1	-1	-1	-1	-1	-1	-1	-1
5031	モイ	技術	Software—Application	235560500	0.8	3.9	"-0.88
-1
-1
-1
-0.88"	-0.88	-0.88	-1	-1	-1	-1	-1	-1	-1
5030	インフォメティス			-1				-1	-1	-1	-1	-1	-1	-1	-1	-1
9221	フルハシEPO	産業	廃棄物管理	55866600	1.4	1.9	"-1
-1
-1
-1
1.86"	-1	-1	-1	-1	-1	-1	-1	-1	-1
9223	ASNOVA	産業	レンタルおよびリースサービス	1972800	1.1	1.2	"-1
-1
-1
-1
-0.16"	-1	-1	-1	-1	-1	-1	-1	-1	-1
5029	サークレイス	技術	Software—Application	73007700	0.9	4.1	"-0.92
-1
-1
-1
-0.92"	-0.92	-0.92	-0.92	-1	-1	-1	-1	-1	-1
9220	エフビー介護サービス	ヘルスケア	医療施設	11486000	0.8	1.6	"-1
-1
-1
-1
-0.23"	-1	-1	-1	-1	-1	-1	-1	-1	-1
5028	セカンドサイトアナリティカ	技術	Software—Infrastructure	156432900	0.7	3.4	"-0.9
-1
-1
-1
-0.9"	-0.9	-0.9	-1	-1	-1	-1	-1	-1	-1
5079	ノバック	産業	工学・建設	1402100	1.3	1.9	"-1
-1
-1
-1
1.86"	-1	-1	-1	-1	-1	-1	-1	-1	-1
9219	ギックス	技術	情報技術サービス	96251000	1.4	4.8	"0.74
-1
-1
-1
1.07"	-0.1	0.74	0.94	-1	-1	-1	-1	-1	-1
9218	メンタルヘルステクノロジーズ	ヘルスケア	医療施設	21870700	1.1	2.8	"-1
-1
-1
-1
0.33"	0.24	-1	-1	-1	-1	-1	-1	-1	-1
7163	住信SBIネット銀行	金融サービス	Banks—Regional	277067900	2.4	2.8	"-1
-1
-1
-1
1.43"	1.04	-1	-1	-1	-1	-1	-1	-1	-1
7138	TORICO	通信サービス	インターネットコンテンツ・情報	1563300	1.0	2.4	"-1
-1
-1
-1
-0.33"	-0.77	-1	-1	-1	-1	-1	-1	-1	-1
9217	RepertoireGenesis			-1				-1	-1	-1	-1	-1	-1	-1	-1	-1
6226	守谷輸送機工業	産業	工学・建設	29266900	5.3	5.3	"1.67
2.08
-1
-1
2.11"	-0.54	1.67	1.97	2.08	-1	-1	-1	-1	-1
5078	セレコーポレーション	不動産	不動産サービス	936500	2.4	2.6	"-1
-1
-1
-1
2.21"	1.83	-1	-1	-1	-1	-1	-1	-1	-1
2996	シノケンリート投資法人			-1				-1	-1	-1	-1	-1	-1	-1	-1	-1
7793	イメージ・マジック	産業	専門ビジネスサービス	5845100	2.1	3.4	"-0.82
-1
-1
-1
-0.79"	-0.82	-0.82	-1	-1	-1	-1	-1	-1	-1
9216	ビーウィズ	産業	専門ビジネスサービス	9657400	1.5	2.5	"-1
-1
-1
-1
0.6"	0.35	-1	-1	-1	-1	-1	-1	-1	-1
5025	マーキュリーリアルテックイノベーター	技術	Software—Application	23044100	1.0	2.6	"-1
-1
-1
-1
-0.66"	-0.69	-1	-1	-1	-1	-1	-1	-1	-1
4270	BeeX	技術	Software—Infrastructure	26695300	2.0	3.7	"-0.32
-1
-1
-1
-0.31"	-0.32	-0.32	-1	-1	-1	-1	-1	-1	-1
9215	CaSy	技術	Software—Application	10126300	1.4	2.1	"-1
-1
-1
-1
-0.92"	-0.92	-1	-1	-1	-1	-1	-1	-1	-1
4269	ノーザ			-1				-1	-1	-1	-1	-1	-1	-1	-1	-1
4268	エッジテクノロジー	技術	Software—Infrastructure	281052200	1.9	3.9	"0.1
-1
-1
-1
0.1"	0.06	0.1	-1	-1	-1	-1	-1	-1	-1
