コード	企業名	sector	industry	上場後の取引量	現在何倍株	最大何倍株	3,5,7,10,N倍まで何年
3974	ティビィシィ・スキヤツト	技術	情報技術サービス	7045800	0.9	2.7	"None
None
None
None
-0.72"
3969	エイトレッド	技術	ソフトウェア - アプリケーション	26881200	1.7	3.4	"3.06
None
None
None
3.1"
3477	フォーライフ	消費者循環	住宅建設	14854000	1.6	2.5	"None
None
None
None
-0.73"
3970	イノベーション	技術	情報技術サービス	3941000	0.8	3.9	"2.51
None
None
None
2.51"
6541	グレイステクノロジー			-1			
3968	セグエグループ	技術	情報技術サービス	273964800	2.9	3.3	"6.85
None
None
None
6.87"
3556	リネットジャパングループ	消費者循環	インターネット小売	129418700	0.6	3.7	"-0.79
None
None
None
1.27"
6540	船場	産業	工学・建設	3448100	1.6	1.7	"None
None
None
None
7.38"
7316	ＺＭＰ			-1			
7192	日本モーゲージサービス	金融サービス	住宅ローン金融	52508400	1.6	4.6	"2.39
None
None
None
3.02"
7782	シンシア	ヘルスケア	医療機器・用品	50736200	0.8	2.3	"None
None
None
None
-0.29"
3476	投資法人みらい	不動産	REIT - 多様化	759008	1.7	2.0	"None
None
None
None
2.48"
6539	ＭＳ－Ｊａｐａｎ	産業	人材派遣・雇用サービス	158772800	2.3	4.5	"1.07
None
None
None
1.79"
6538	キャリアインデックス	産業	人材派遣・雇用サービス	26435200	0.5	6.3	"0.79
1.12
None
None
1.64"
3475	グッドコムアセット	不動産	不動産 - 多様化	42192000	8.2	9.8	"1.06
3.1
3.8
None
6.81"
7191	イントラスト	金融サービス	信用サービス	34845000	2.6	3.3	"1.09
None
None
None
6.38"
9282	いちごグリーンインフラ投資法人	不動産	REIT - 特殊	70682	1.5	2.6	"None
None
None
None
7.06"
3550	スタジオアタオ	消費者循環	フットウェア＆アクセサリー	58945200	0.3	2.7	"None
None
None
None
1.16"
3967	エルテス	技術	ソフトウェア - アプリケーション	50408400	0.3	2.6	"None
None
None
None
-0.72"
5704	ＪＭＣ	産業	専門ビジネスサービス	78623600	0.9	4.8	"0.75
None
None
None
0.88"
6537	ＷＡＳＨハウス	消費者循環	個人サービス	30310400	0.2	3.3	"0.33
None
None
None
0.33"
3267	フィル・カンパニー	産業	工学・建設	23379400	0.7	7.1	"0.93
1.1
1.18
None
1.18"
3548	バロックジャパンリミテッド	消費者循環	衣料品小売	17666100	1.1	2.1	"None
None
None
None
-0.93"
1438	岐阜造園	産業	工学・建設	60900	1.9	2.3	"None
None
None
None
1.68"
6535	アイモバイル	通信サービス	広告代理店	56317500	2.0	2.2	"None
None
None
None
4.59"
9142	九州旅客鉄道〔JR九州〕	産業	鉄道	283008700	1.7	1.8	"None
None
None
None
7.92"
3966	ユーザベース			-1			
7190	マーキュリアインベストメント			-1			
4189	KHネオケム	基礎材料	化学製品	25493500	2.1	3.9	"1.29
None
None
None
1.87"
