コード	企業名	sector	industry	上場後の取引量	現在何倍株	最大何倍株	3,5,7,10,N倍まで何年
6034	ＭＲＴ	ヘルスケア	医療施設	26995400	1.4	10.5	"-0.64
0.58
0.58
0.6
0.6"
6033	エクストリーム	通信サービス	電子ゲーム・マルチメディア	51545600	4.1	15.4	"-0.99
-0.96
2.63
2.64
2.68"
3904	カヤック	通信サービス	電子ゲーム・マルチメディア	80832000	0.8	2.7	"None
None
None
None
2.51"
7815	東京ボード工業	基礎材料	木材・木製品生産	707000	0.6	1.7	"None
None
None
None
2.63"
3905	データセクション	技術	ソフトウェア - アプリケーション	111404600	2.1	6.5	"-0.96
8.32
None
None
8.32"
3221	ヨシックス	消費者循環	レストラン	7310400	4.9	6.3	"0.92
2.93
None
None
3.44"
3199	綿半ホールディングス	消費者循環	Home Improvement Retail	17403400	5.2	7.3	"2.45
3.01
3.11
None
3.11"
6032	インターワークス			-1			
9517	イーレックス	公共事業	再生可能エネルギー	54766800	2.5	11.9	"0.9
4.13
5.27
5.85
5.95"
6031	サイジニア	技術	ソフトウェア - インフラストラクチャ	146443200	1.1	5.0	"-0.95
None
None
None
-0.94"
9551	メタウォーター	産業	Pollution & Treatment Controls	28333000	2.0	2.6	"None
None
None
None
9.33"
6030	アドベンチャー	消費者循環	旅行サービス	7685100	3.6	12.0	"1.98
2.76
3.35
3.58
7.82"
3903	ｇｕｍｉ	通信サービス	電子ゲーム・マルチメディア	39509500	0.4	3.8	"-1.0
None
None
None
-1.0"
2883	大冷	産業	特殊産業機械	2161800	1.5	1.8	"None
None
None
None
5.23"
4248	竹本容器	消費者循環	包装および容器	6288600	2.6	4.6	"3.08
None
None
None
3.61"
7175	今村証券	金融サービス	資本市場	4540800	2.2	3.0	"None
None
None
None
8.87"
2586	フルッタフルッタ	消費者防衛	食品流通	2296000	0.2	4.1	"-1.0
None
None
None
-1.0"
3198	ＳＦＰダイニング	消費者循環	レストラン	9245800	1.8	2.3	"None
None
None
None
8.45"
9418	Ｕ−ＮＥＸＴ	産業	コングロマリット	95841900	4.8	5.6	"5.81
8.36
None
None
8.8"
3901	マークラインズ	通信サービス	インターネットコンテンツ・情報	99028400	5.2	7.3	"2.06
2.48
5.4
None
8.29"
3902	メディカル・データ・ビジョン	ヘルスケア	健康情報サービス	157408000	3.6	27.3	"-0.73
0.94
1.52
1.73
5.12"
6029	アトラ	ヘルスケア	医療施設	27875100	0.7	7.3	"0.3
0.42
0.82
None
0.82"
6028	テクノプロ・ホールディングス	産業	人材派遣・雇用サービス	193321200	5.6	7.9	"2.75
5.95
7.88
None
8.12"
3900	クラウドワークス	産業	人材派遣・雇用サービス	95418900	3.0	4.7	"-0.89
None
None
None
3.32"
6026	GMO TECH	通信サービス	インターネットコンテンツ・情報	3983200	2.1	4.3	"8.45
None
None
None
8.53"
7816	スノーピーク			-1			
3452	ビーロット	不動産	不動産サービス	43381200	5.7	5.7	"-0.73
9.19
None
None
9.21"
6027	弁護士ドットコム	産業	コンサルティングサービス	40124100	4.0	24.2	"2.41
2.85
3.04
4.62
5.1"
3698	ＣＲＩ・ミドルウェア	通信サービス	電子ゲーム・マルチメディア	33357900	0.7	4.5	"-0.83
None
None
None
-0.83"
6025	日本ＰＣサービス			-1			
3697	ＳＨＩＦＴ	技術	ソフトウェア - アプリケーション	141454200	16.8	39.8	"2.67
2.93
4.24
4.82
8.78"
6099	エラン	ヘルスケア	医療施設	163113600	5.8	13.1	"2.04
2.77
3.64
5.03
5.42"
9467	アルファポリス	通信サービス	インターネットコンテンツ・情報	10444200	3.5	5.6	"3.28
5.89
None
None
6.75"
3694	オプティム	技術	ソフトウェア - インフラストラクチャ	457632000	1.6	9.1	"3.05
4.4
4.75
None
4.98"
3696	セレス	産業	コングロマリット	36737600	3.2	6.8	"1.28
6.01
None
None
6.09"
3695	GMOリサーチ	技術	ソフトウェア - インフラストラクチャ	10429500	2.2	3.7	"-0.78
None
None
None
6.93"
6098	リクルート	通信サービス	インターネットコンテンツ・情報	1013555700	9.4	10.1	"3.66
6.34
7.0
10.08
10.08"
3197	すかいらーく	消費者循環	レストラン	65091500	2.5	2.8	"None
None
None
None
9.24"
6240	ヤマシンフィルタ	産業	特殊産業機械	88290000	7.1	17.9	"1.96
2.12
2.59
2.65
2.98"
3196	ホットランド	消費者循環	レストラン	38241200	2.0	2.5	"None
None
None
None
9.67"
3692	ＦＦＲＩ	技術	ソフトウェア - アプリケーション	260193900	1.6	15.7	"0.11
0.25
0.71
0.79
0.81"
4591	リボミック	ヘルスケア	バイオテクノロジー	29737900	0.1	2.1	"None
None
None
None
-0.92"
3195	ジェネレーションパス	消費者循環	インターネット小売	13879200	0.9	5.3	"1.33
4.05
None
None
4.05"
3300	ＡＭＢＩＴＩＯＮ	不動産	不動産サービス	61845600	11.2	11.3	"0.55
0.64
2.74
9.1
9.25"
3691	リアルワールド	通信サービス	インターネットコンテンツ・情報	9050600	0.4	2.5	"None
None
None
None
0.38"
3690	ロックオン	通信サービス	広告代理店	48788200	0.8	6.2	"-0.93
0.7
None
None
0.71"
