コード	企業名	sector	industry	上場後の取引量	現在何倍株	最大何倍株	3,5,7,10,N倍まで何年
4930	グラフィコ			-1			
6186	一蔵	消費者循環	個人サービス	2446600	0.7	1.9	"None
None
None
None
0.44"
3465	ケイアイスター不動産	不動産	不動産サービス	16044600	12.4	23.1	"0.38
1.78
5.06
5.12
5.83"
3929	ソーシャルワイヤー	通信サービス	娯楽	22487000	0.5	4.7	"1.61
None
None
None
2.03"
6185	ソネット・メディア・ネットワークス	通信サービス	広告代理店	19929600	0.8	6.8	"1.56
1.84
None
None
2.01"
3464	プロパティエージェント			-1			
3928	マイネット	通信サービス	電子ゲーム・マルチメディア	77170200	0.6	8.0	"0.08
0.96
1.01
None
1.03"
9416	ビジョン	通信サービス	電気通信サービス	82768200	7.0	10.4	"0.96
1.88
2.28
3.24
3.24"
3927	アークン	技術	ソフトウェア - インフラストラクチャ	33635600	1.1	7.8	"-0.96
-0.96
-0.95
None
-0.94"
6238	フリュー	消費者循環	レジャー	11767200	1.8	2.8	"None
None
None
None
5.3"
3419	アートグリーン			-1			
4595	ミズホメディー	ヘルスケア	医薬品メーカー - 専門・ジェネリック	20880000	11.3	13.0	"1.13
1.79
1.96
5.12
6.85"
3926	オープンドア	通信サービス	インターネットコンテンツ・情報	73298400	1.1	5.6	"1.74
2.53
None
None
3.11"
6464	ツバキ・ナカシマ	産業	ツール・アクセサリー	39475500	0.6	3.1	"1.56
None
None
None
1.64"
3925	ダブルスタンダード	技術	情報技術サービス	42319600	3.6	10.6	"1.53
2.51
5.52
5.76
5.77"
3924	ランドコンピュータ	技術	情報技術サービス	33962400	5.8	7.8	"0.32
0.47
7.78
None
7.88"
3923	ラクス	技術	情報技術サービス	145950400	28.3	67.5	"1.13
1.94
2.61
3.52
5.65"
6184	鎌倉新書	消費者循環	個人サービス	160617600	6.6	26.1	"0.13
1.28
1.95
2.08
3.81"
1435	インベスターズクラウド	不動産	不動産サービス	520030000	0.6	9.9	"0.21
0.32
2.13
None
2.32"
3463	いちごホテルリート投資法人	不動産	REIT - ホテル・モーテル	246363	1.9	1.9	"None
None
None
None
8.98"
3921	ネオジャパン	技術	ソフトウェア - アプリケーション	70378800	6.0	9.2	"-0.2
1.92
4.37
None
4.56"
6183	ベルシステム24ホールディングス	産業	専門ビジネスサービス	47967200	2.3	3.1	"4.73
None
None
None
7.64"
6182	ロゼッタ	技術	情報技術サービス	87424200	1.6	10.7	"0.16
0.24
3.12
3.18
3.18"
7183	あんしん保証	金融サービス	信用サービス	65214900	0.8	4.8	"0.64
None
None
None
0.76"
6178	日本郵政	金融サービス	銀行 - 地域	1047990500	1.8	2.0	"None
None
None
None
8.07"
7182	ゆうちょ銀行	金融サービス	銀行 - 地域	736937700	1.8	2.1	"None
None
None
None
7.71"
7181	かんぽ生命保険	金融サービス	保険 - 生命	216847300	2.1	2.2	"None
None
None
None
8.01"
3418	バルニバービ	消費者循環	レストラン	3232800	1.9	3.1	"0.69
None
None
None
0.69"
6181	パートナーエージェント	消費者循環	個人サービス	19869600	0.3	3.3	"-0.77
None
None
None
-0.77"
6180	GMOメディア	通信サービス	インターネットコンテンツ・情報	10405700	2.2	3.7	"-0.3
None
None
None
-0.3"
4594	グリーンペプタイド	ヘルスケア	バイオテクノロジー	201592200	0.2	8.5	"0.26
0.3
0.31
None
0.32"
6177	ＡｐｐＢａｎｋ	通信サービス	広告代理店	111432900	0.1	6.3	"-0.73
-0.72
None
None
-0.7"
6176	ブランジスタ	通信サービス	出版	140217600	1.5	28.0	"0.08
0.46
0.49
0.54
0.6"
6175	ネットマーケティング			-1			
3920	アイビーシー	技術	情報技術サービス	67839200	1.1	5.1	"-0.41
-0.41
None
None
-0.41"
3416	ピクスタ	消費者循環	インターネット小売	6699300	0.9	1.9	"None
None
None
None
-0.41"
