コード	企業名	sector	industry	上場後の取引量	現在何倍株	最大何倍株	3,5,7,10,N倍まで何年	2倍まで何年	3倍まで何年	4倍まで何年	5倍まで何年	6倍まで何年	7倍まで何年	8倍まで何年	9倍まで何年	10倍まで何年
391A	山忠			-1				-1	-1	-1	-1	-1	-1	-1	-1	-1
387A	フラー			-1				-1	-1	-1	-1	-1	-1	-1	-1	-1
386A	みのや			-1				-1	-1	-1	-1	-1	-1	-1	-1	-1
384A	かがやきホールディングス			-1				-1	-1	-1	-1	-1	-1	-1	-1	-1
378A	ヒット			-1				-1	-1	-1	-1	-1	-1	-1	-1	-1
373A	リップス			-1				-1	-1	-1	-1	-1	-1	-1	-1	-1
372A	レント			-1				-1	-1	-1	-1	-1	-1	-1	-1	-1
369A	エータイ	産業	工学・建設	16900000	1.0	1.0	"-1
-1
-1
-1
-0.01"	-1	-1	-1	-1	-1	-1	-1	-1	-1
368A	北里コーポレーション	ヘルスケア	医療機器・用品	28845600	1.1	1.1	"-1
-1
-1
-1
-0.01"	-1	-1	-1	-1	-1	-1	-1	-1	-1
367A	プリモグローバルホールディングス	消費者循環	高級品	4635600	1.0	1.1	"-1
-1
-1
-1
0.0"	-1	-1	-1	-1	-1	-1	-1	-1	-1
366A	ウェルネス・コミュニケーションズ	ヘルスケア	健康情報サービス	17739300	1.0	1.2	"-1
-1
-1
-1
-0.01"	-1	-1	-1	-1	-1	-1	-1	-1	-1
365A	伊澤タオル	Unknown	Unknown	23722000	1.0	1.1	"-1
-1
-1
-1
-0.02"	-1	-1	-1	-1	-1	-1	-1	-1	-1
353A	エレベーターコミュニケーションズ			-1				-1	-1	-1	-1	-1	-1	-1	-1	-1
352A	LIFE CREATE	消費者循環	レジャー	9630100	1.0	1.3	"-1
-1
-1
-1
-0.05"	-1	-1	-1	-1	-1	-1	-1	-1	-1
350A	デジタルグリッド	公共事業	再生可能エネルギー	27373000	2.1	2.4	"-1
-1
-1
-1
0.12"	0.11	-1	-1	-1	-1	-1	-1	-1	-1
343A	IACEトラベル	消費者循環	旅行サービス	5210000	1.2	1.3	"-1
-1
-1
-1
0.19"	-1	-1	-1	-1	-1	-1	-1	-1	-1
340A	ジグザグ	産業	専門ビジネスサービス	7367500	1.8	1.8	"-1
-1
-1
-1
0.23"	-1	-1	-1	-1	-1	-1	-1	-1	-1
341A	トヨコー	Unknown	Unknown	89210500	2.9	3.7	"0.12
-1
-1
-1
0.12"	0.04	0.12	-1	-1	-1	-1	-1	-1	-1
339A	プログレス・テクノロジーズグループ	技術	情報技術サービス	3472400	1.2	1.3	"-1
-1
-1
-1
-0.03"	-1	-1	-1	-1	-1	-1	-1	-1	-1
336A	ダイナミックマッププラットフォーム	通信サービス	インターネットコンテンツ・情報	84762400	1.4	1.8	"-1
-1
-1
-1
-0.03"	-1	-1	-1	-1	-1	-1	-1	-1	-1
338A	ZenmuTech	技術	ソフトウェア - インフラストラクチャ	45693700	2.8	3.9	"0.12
-1
-1
-1
0.2"	0.03	0.12	-1	-1	-1	-1	-1	-1	-1
334A	ビジュアル・プロセッシング・ジャパン	技術	ソフトウェア - アプリケーション	6577000	1.2	1.9	"-1
-1
-1
-1
-0.04"	-1	-1	-1	-1	-1	-1	-1	-1	-1
335A	ミライロ	技術	ソフトウェア - アプリケーション	84330800	1.6	2.3	"-1
-1
-1
-1
-0.03"	-0.03	-1	-1	-1	-1	-1	-1	-1	-1
9388	パパネッツ	Unknown	Unknown	0	0.1	1.0	"-1
-1
-1
-1
6.33"	-1	-1	-1	-1	-1	-1	-1	-1	-1
332A	ミーク	技術	ソフトウェア - アプリケーション	14777900	1.3	1.7	"-1
-1
-1
-1
0.17"	-1	-1	-1	-1	-1	-1	-1	-1	-1
5016	JX金属	技術	Semiconductor Equipment & Materials	1099235300	1.2	1.5	"-1
-1
-1
-1
-0.04"	-1	-1	-1	-1	-1	-1	-1	-1	-1
331A	メディックス	通信サービス	広告代理店	5198400	1.0	1.5	"-1
-1
-1
-1
-0.05"	-1	-1	-1	-1	-1	-1	-1	-1	-1
330A	TalentX	産業	人材派遣・雇用サービス	50415600	1.4	2.0	"-1
-1
-1
-1
0.17"	0.17	-1	-1	-1	-1	-1	-1	-1	-1
325A	TENTIAL	消費者循環	衣料品製造	29694300	2.5	3.4	"0.19
-1
-1
-1
0.19"	0.16	0.19	-1	-1	-1	-1	-1	-1	-1
324A	ブッキングリゾート	消費者循環	旅行サービス	51681500	1.1	2.2	"-1
-1
-1
-1
-0.11"	-0.11	-1	-1	-1	-1	-1	-1	-1	-1
323A	フライヤー	技術	ソフトウェア - アプリケーション	13210900	2.1	2.4	"-1
-1
-1
-1
0.22"	-0.13	-1	-1	-1	-1	-1	-1	-1	-1
319A	技術承継機構	金融サービス	資産運用	33878900	1.6	1.8	"-1
-1
-1
-1
0.11"	-1	-1	-1	-1	-1	-1	-1	-1	-1
7790	バルコス	Unknown	Unknown	100	1.0	1.0	"-1
-1
-1
-1
0.0"	-1	-1	-1	-1	-1	-1	-1	-1	-1
