コード	企業名	sector	industry	上場後の取引量	現在何倍株	最大何倍株	3,5,7,10,N倍まで何年
9268	オプティマスグループ	消費者循環	自動車・トラック販売	230610000	6.6	18.3	"2.65
4.53
4.75
4.9
5.26"
6565	ABホテル	消費者循環	宿泊施設	21714000	1.0	2.6	"None
None
None
None
4.65"
6566	要興業	産業	廃棄物管理	42485500	2.3	2.3	"None
None
None
None
5.89"
6564	ミダック	産業	廃棄物管理	0	7.3	26.6	"1.88
2.74
2.88
3.24
3.74"
7199	プレミアグループ	金融サービス	信用サービス	124908600	7.5	7.5	"3.44
4.67
6.86
None
6.92"
6235	オプトラン	産業	特殊産業機械	69203100	1.3	2.8	"None
None
None
None
-0.88"
4249	森六ホールディングス	基礎材料	化学製品	17335000	1.0	1.4	"None
None
None
None
4.95"
6563	みらいワークス	産業	人材派遣・雇用サービス	52910400	1.3	4.1	"-0.99
None
None
None
-0.98"
3540	歯愛メディカル	消費者防衛	家庭用品・個人用品	2500	2.2	5.1	"1.57
1.7
None
None
1.74"
3999	ナレッジスイート			-1			
3998	すららネット	消費者防衛	教育・訓練サービス	49541500	0.6	14.7	"0.35
2.37
2.53
2.63
2.7"
6562	ジーニー	通信サービス	インターネットコンテンツ・情報	19209400	2.8	5.4	"-1.0
-1.0
None
None
-1.0"
2334	イオレ	技術	ソフトウェア - アプリケーション	4007200	0.4	3.4	"-1.0
None
None
None
-1.0"
6561	HANATOUR JAPAN	消費者循環	旅行サービス	30313300	0.9	3.4	"-0.61
None
None
None
-0.56"
6560	エル・ティー・エス	産業	コンサルティングサービス	27371300	1.7	4.4	"2.04
None
None
None
2.1"
7198	アルヒ	金融サービス	住宅ローン金融	32838400	0.9	2.4	"None
None
None
None
0.65"
3486	グローバル・リンク・マネジメント	不動産	不動産サービス	36819600	3.6	4.4	"-0.81
None
None
None
5.37"
3611	マツオカコーポレーション	消費者循環	衣料品製造	15523100	0.7	1.7	"None
None
None
None
-0.74"
6698	ヴィスコ・テクノロジーズ	技術	電子部品	90914400	0.7	2.9	"None
None
None
None
-0.96"
9143	SGホールディングス	産業	統合貨物・物流	503363800	1.7	3.8	"2.79
None
None
None
3.76"
8919	カチタス	消費者循環	住宅建設	1493400	-0.0	-0.1	"-0.24
-0.24
-0.24
-0.24
17.58"
9266	一家ダイニングプロジェクト			-1			
6559	アトリエはるか			-1			
3997	トレードワークス	技術	情報技術サービス	23331900	0.6	3.4	"-0.99
None
None
None
-0.99"
6558	クックビズ	産業	人材派遣・雇用サービス	9530100	0.6	4.2	"-0.97
None
None
None
-0.97"
7807	幸和製作所	消費者循環	家具、備品、家電	19868100	1.1	5.9	"-0.9
-0.83
None
None
-0.82"
9264	ポエック	産業	特殊産業機械	9171200	0.9	3.4	"0.33
None
None
None
0.33"
3996	サインポスト	技術	情報技術サービス	88382400	0.2	2.5	"None
None
None
None
0.37"
7808	シー・エス・ランバー	基礎材料	木材・木製品生産	4385400	2.9	4.5	"2.98
None
None
None
3.48"
7196	Casa	金融サービス	住宅ローン金融	19477200	1.1	1.8	"None
None
None
None
1.9"
9284	カナディアン・ソーラー・インフラ投資法人	不動産	REIT - 特殊	104867	1.2	1.9	"None
None
None
None
5.78"
3995	SKIYAKI			-1			
3484	テンポイノベーション	不動産	不動産サービス	54564000	1.9	2.6	"None
None
None
None
5.83"
9262	シルバーライフ	消費者防衛	包装食品	29670800	0.8	3.6	"0.66
None
None
None
0.89"
6555	MS&Consulting	技術	情報技術サービス	103946300	0.5	1.6	"None
None
None
None
-0.31"
4124	大阪油化工業	基礎材料	化学製品	21211100	0.8	2.9	"None
None
None
None
-0.71"
6556	ウェルビー			-1			
3994	マネーフォワード	技術	ソフトウェア - アプリケーション	34558800	3.2	6.5	"2.82
3.72
None
None
3.92"
