コード	企業名	sector	industry	上場後の取引量	現在何倍株	最大何倍株	3,5,7,10,N倍まで何年
160A	アズパートナーズ	Unknown	Unknown	6173100	1.1	1.7	"None
None
None
None
-0.11"
157A	グリーンモンスター	技術	Software—Application	11671400	1.0	3.1	"-0.64
None
None
None
-0.64"
156A	マテリアルグループ	通信サービス	広告代理店	9055200	1.0	1.8	"None
None
None
None
-0.62"
153A	カウリス	Unknown	Unknown	35452700	1.4	3.1	"-0.33
None
None
None
-0.33"
155A	情報戦略テクノロジー	Unknown	Unknown	51309900	1.4	3.3	"-0.36
None
None
None
-0.36"
149A	シンカ	Unknown	Unknown	10835300	1.2	3.1	"-0.36
None
None
None
-0.36"
151A	ダイブ	Unknown	Unknown	13803100	1.2	1.6	"None
None
None
None
-0.07"
146A	コロンビア・ワークス	不動産	Real Estate—Development	13276900	1.5	2.1	"None
None
None
None
-0.35"
148A	ハッチ・ワーク	Unknown	Unknown	8509400	1.4	1.9	"None
None
None
None
-0.36"
150A	JSH	Unknown	Unknown	15962000	1.1	1.7	"None
None
None
None
-0.06"
145A	L is B	Unknown	Unknown	18838200	1.1	2.4	"None
None
None
None
-0.36"
147A	ソラコム	技術	Software—Infrastructure	152391300	1.3	2.6	"None
None
None
None
-0.34"
143A	イシン	通信サービス	広告代理店	12338800	1.3	3.5	"-0.36
None
None
None
-0.36"
142A	ジンジブ	Unknown	Unknown	7146400	1.0	3.0	"None
None
None
None
-0.65"
5858	STG	産業	金属製造	600	0.7	1.0	"None
None
None
None
4.56"
141A	トライアルホールディングス	消費者防衛	Discount Stores	136285700	1.3	1.6	"None
None
None
None
0.45"
137A	Cocolive	Unknown	Unknown	13278600	1.2	3.6	"-0.44
None
None
None
-0.44"
138A	光フードサービス	Unknown	Unknown	3403500	1.1	2.9	"None
None
None
None
-0.66"
135A	VRAIN Solution	Unknown	Unknown	52954800	1.0	3.9	"-0.73
None
None
None
-0.66"
130A	Veritas In Silico	Unknown	Unknown	36369700	1.4	5.0	"-0.49
None
None
None
-0.47"
5871	SOLIZE	技術	コンピュータハードウェア	42956300	1.2	3.3	"-0.46
None
None
None
-0.46"
