コード	企業名	sector	industry	上場後の取引量	現在何倍株	最大何倍株	3,5,7,10,N倍まで何年
5241	日本オーエー研究所	Unknown	Unknown	100	1.0	1.0	"None
None
None
None
0.0"
296A	令和アカウンティング・ホールディングス			-1			
290A	Synspective			-1			
291A	リスキル			-1			
289A	ファイントゥデイホールディングス			-1			
287A	黒田グループ			-1			
288A	ラクサス・テクノロジーズ			-1			
286A	ユカリア			-1			
281A	インフォメティス			-1			
280A	TMH			-1			
278A	Terra Drone			-1			
277A	グロービング			-1			
276A	ククレブ・アドバイザーズ			-1			
274A	ガーデン			-1			
269A	Sapeet	Unknown	Unknown	6921600	1.3	2.8	"None
None
None
None
0.02"
265A	Hmcomm	Unknown	Unknown	33231100	1.9	1.9	"None
None
None
None
0.05"
268A	リガク・ホールディングス	技術	Scientific & Technical Instruments	74064200	1.0	1.1	"None
None
None
None
-0.05"
9023	東京地下鉄	産業	コングロマリット	389147300	1.1	1.1	"None
None
None
None
-0.01"
264A	Schoo	Unknown	Unknown	45888100	1.6	1.6	"None
None
None
None
0.07"
7118	伸和ホールディングス	Unknown	Unknown	100	1.0	1.0	"None
None
None
None
0.0"
262A	インターメスティック	ヘルスケア	医療機器・用品	35575400	1.3	1.4	"None
None
None
None
0.06"
261A	日水コン	産業	工学・建設	3822700	1.0	1.1	"None
None
None
None
-0.02"
260A	オルツ	Unknown	Unknown	144871900	1.3	1.5	"None
None
None
None
-0.09"
259A	ケイ・ウノ			-1			
250A	シマダヤ	消費者防衛	包装食品	5099800	1.0	1.2	"None
None
None
None
-0.06"
247A	Aiロボティクス	Unknown	Unknown	12639200	1.1	1.2	"None
None
None
None
0.07"
246A	アスア	Unknown	Unknown	43805600	1.3	1.9	"None
None
None
None
-0.08"
248A	キッズスター	Unknown	Unknown	2199100	1.4	2.0	"None
None
None
None
-0.08"
245A	INGS	Unknown	Unknown	5300500	1.1	1.4	"None
None
None
None
-0.09"
244A	グロースエクスパートナーズ	技術	情報技術サービス	23758300	1.3	2.3	"None
None
None
None
0.09"
242A	リプライオリティ			-1			
241A	ROXX	Unknown	Unknown	7197100	1.3	1.8	"None
None
None
None
-0.13"
231A	Cross Eホールディングス			-1			
228A	オプロ	Unknown	Unknown	12347800	1.3	1.5	"None
None
None
None
-0.18"
220A	Faber Company	技術	Software—Application	18407600	1.3	1.7	"None
None
None
None
-0.02"
219A	Heartseed	Unknown	Unknown	56443200	1.3	1.8	"None
None
None
None
0.16"
218A	Liberaware	Unknown	Unknown	96179400	1.2	2.2	"None
None
None
None
0.16"
215A	タイミー	Unknown	Unknown	343137800	1.2	2.2	"None
None
None
None
-0.2"
212A	フィットイージー	Unknown	Unknown	40652100	2.3	2.4	"None
None
None
None
0.25"
211A	カドス・コーポレーション	Unknown	Unknown	3343400	1.6	1.8	"None
None
None
None
-0.05"
206A	PRISM BioLab	Unknown	Unknown	104840300	1.0	2.2	"None
None
None
None
-0.38"
205A	ロゴスホールディングス	消費者循環	住宅建設	5897900	1.2	1.7	"None
None
None
None
0.07"
202A	豆蔵デジタルホールディングス	技術	情報技術サービス	47255000	1.2	1.6	"None
None
None
None
-0.11"
196A	MFS	金融サービス	住宅ローン金融	39585300	1.3	1.7	"None
None
None
None
-0.24"
197A	タウンズ	Unknown	Unknown	70784500	1.4	1.6	"None
None
None
None
0.26"
194A	WOLVES HAND	ヘルスケア	医療施設	46819700	1.2	1.9	"None
None
None
None
-0.11"
198A	PostPrime	Unknown	Unknown	116556200	1.3	2.5	"None
None
None
None
0.03"
195A	ライスカレー	技術	Software—Infrastructure	10861000	1.0	1.9	"None
None
None
None
-0.42"
192A	インテグループ	Unknown	Unknown	23583800	1.1	2.7	"None
None
None
None
-0.12"
190A	ChordiaTherapeutics	ヘルスケア	バイオテクノロジー	412352600	1.5	6.1	"0.08
0.15
None
None
0.15"
189A	D&Mカンパニー	ヘルスケア	医療施設	15744800	1.3	1.9	"None
None
None
None
-0.15"
186A	アストロスケールホールディングス	産業	Aerospace & Defense	314350100	1.9	2.7	"None
None
None
None
-0.17"
184A	学びエイド	Unknown	Unknown	31260200	1.0	2.3	"None
None
None
None
-0.39"
177A	コージンバイオ	ヘルスケア	バイオテクノロジー	22067100	1.3	2.1	"None
None
None
None
-0.05"
176A	レジル	公共事業	Utilities—Regulated Electric	58779100	1.8	1.8	"None
None
None
None
0.52"
175A	Will Smart	Unknown	Unknown	5122000	1.0	2.1	"None
None
None
None
-0.3"
173A	ハンモック	Unknown	Unknown	7768600	1.5	2.3	"None
None
None
None
-0.32"
168A	イタミアート	Unknown	Unknown	12465800	1.1	2.2	"None
None
None
None
-0.32"
