コード	企業名	sector	industry	上場後の取引量	現在何倍株	最大何倍株	3,5,7,10,N倍まで何年
4492	ゼネテック	技術	Software—Application	22398600	3.0	6.0	"3.16
3.87
None
None
3.95"
5070	ドラフト	産業	工学・建設	6964200	1.4	3.6	"0.69
None
None
None
0.69"
7091	リビングプラットフォーム	ヘルスケア	医療施設	1771800	1.8	5.9	"1.41
1.54
None
None
1.59"
7688	ミアヘルサ			-1			
7687	ミクリード	消費者防衛	食品流通	89608200	3.3	4.9	"0.04
None
None
None
3.45"
7090	リグア	ヘルスケア	医療施設	1625700	1.3	7.1	"0.32
0.44
0.6
None
0.6"
6231	木村工機	産業	Electrical Equipment & Parts	6478400	3.0	4.1	"4.07
None
None
None
4.2"
7089	フォースタートアップス	産業	人材派遣・雇用サービス	4115200	0.9	4.9	"0.63
None
None
None
0.88"
4491	コンピューターマネージメント	技術	Software—Application	9336600	1.4	1.6	"None
None
None
None
1.67"
4490	ビザスク	産業	コンサルティングサービス	31435200	1.3	7.4	"0.32
0.55
1.48
None
1.62"
7088	フォーラムエンジニアリング	産業	人材派遣・雇用サービス	39253600	4.0	4.3	"3.64
None
None
None
4.31"
7087	ウイルテック	技術	半導体	5381300	1.6	3.3	"1.24
None
None
None
1.29"
7086	きずなホールディングス	消費者循環	個人サービス	10144800	3.7	3.8	"2.54
None
None
None
3.65"
7084	Kids SmileHoldings	消費者防衛	教育・訓練サービス	15753000	0.6	2.4	"None
None
None
None
-0.08"
7085	カーブスホールディングス	消費者循環	レジャー	85898800	1.8	2.4	"None
None
None
None
1.02"
7083	AHCグループ	ヘルスケア	医療施設	4388800	1.1	4.8	"-0.1
None
None
None
4.24"
9287	ジャパン・インフラファンド投資法人	公共事業	Utilities—Renewable	33898	0.7	1.1	"None
None
None
None
0.68"
7082	ジモティー	通信サービス	インターネットコンテンツ・情報	25383600	1.2	5.3	"0.41
1.65
None
None
1.65"
7081	コーユーレンティア	産業	レンタルおよびリースサービス	8203900	3.5	3.9	"-0.15
None
None
None
4.23"
