code	company_name
2806	ユタカフーズ株式会社
2804	ブルドックソース株式会社
250A	シマダヤ株式会社
2901	株式会社ウェルディッシュ
2902	太陽化学株式会社
2903	シノブフーズ株式会社
2268	Ｂ－Ｒ　サーティワン　アイスクリーム株式会社
2904	一正蒲鉾株式会社
2813	和弘食品株式会社
2907	株式会社あじかん
2908	フジッコ株式会社
2910	株式会社ロック・フィールド
2814	佐藤食品工業株式会社
2815	アリアケジャパン株式会社
2911	旭松食品株式会社
2876	株式会社デルソーレ
2594	キーコーヒー株式会社
2914	日本たばこ産業株式会社
2915	ケンコーマヨネーズ株式会社
2916	仙波糖化工業株式会社
2917	株式会社大森屋
2918	わらべや日洋ホールディングス株式会社
2919	株式会社　マルタイ
2877	日東ベスト株式会社
2816	株式会社ダイショー
2058	株式会社ヒガシマル
2830	アヲハタ株式会社
2597	株式会社ユニカフェ
2922	株式会社なとり
2831	はごろもフーズ株式会社
2923	サトウ食品株式会社
2924	イフジ産業株式会社
2818	株式会社ピエトロ
2819	エバラ食品工業株式会社
2926	株式会社　篠崎屋
2928	ＲＩＺＡＰグループ株式会社
3002	グンゼ株式会社
3010	ポラリス・ホールディングス株式会社
3003	ヒューリック株式会社
3001	片倉工業株式会社
3101	東洋紡株式会社
3103	ユニチカ株式会社
3106	倉敷紡績株式会社
3107	ダイワボウホールディングス株式会社
3109	シキボウ株式会社
3111	オーミケンシ株式会社
3123	サイボー株式会社
3116	トヨタ紡織株式会社
3113	株式会社ＵＮＩＶＡ・Ｏａｋホールディングス
3110	日東紡績株式会社
3104	富士紡ホールディングス株式会社
3105	日清紡ホールディングス株式会社
3121	マーチャント・バンカーズ株式会社
3202	ダイトウボウ株式会社
3205	株式会社ダイドーリミテッド
3201	日本毛織株式会社
3204	株式会社トーア紡コーポレーション
3306	日本製麻株式会社
3302	帝国繊維株式会社
3569	セーレン株式会社
3577	東海染工株式会社
3409	北日本紡績株式会社
3529	アツギ株式会社
3571	株式会社ソトー
8091	ニチモウ株式会社
8013	株式会社ナイガイ
3513	イチカワ株式会社
3512	日本フエルト株式会社
3501	ＳＵＭＩＮＯＥ株式会社
3521	エコナックホールディングス株式会社
3526	芦森工業株式会社
3524	日東製網株式会社
3583	オーベクス株式会社
