shareholder_notes
代表取締役社長執行役員
特別利害関係者等
ベンチャーキャピタル（ファンド）
代表取締役社長
取締役
従業員
金融商品取引業者
ベンチャーキャピタル（ファンド）、金融商品取引業者の人的・資本的関係会社
資本的関係会社
取締役の血族、資本的関係会社の役員
取締役執行役員、資本的関係会社の役員
取締役、子会社取締役
監査役
子会社取締役
親会社、創業者の投資会社
兄弟会社
取締役、子会社の代表取締役、子会社の取締役
代表取締役社長、子会社の代表取締役、子会社の取締役
代表取締役社長、子会社役員
専務取締役、子会社役員
取締役、代表取締役社長の配偶者
役員の配偶者および血族
取締役、役員の配偶者および血族
従業員、役員の配偶者および血族
常務取締役
代表取締役会長、子会社の取締役
取締役、子会社の取締役
子会社の取締役
取締役、子会社の取締役、代表取締役の血族
代表取締役社長、子会社の取締役
取締役会長
役員等が議決権の過半数を所有する会社
親会社
新井隆二氏による信託
顧問等（社外協力者）
取締役、役員の血族
役員の血族
ベンチャーキャピタル（ファンド）、資本的関係会社、金融商品取引業者の関係会社
代表取締役社長の血族
親会社の取締役
親会社の執行役員
親会社の従業員
代表取締役社長兼CEO
自己株式
専務取締役
創業家一族の株主会
取引先
取締役CFO
代表取締役社長の血族、従業員
執行役員
代表取締役社長の配偶者
代表取締役社長が議決権の20％以上を所有する会社
取締役副社長
専務取締役の長男、従業員
役員等が議決権の過半数を所有する会社、代表取締役の長男が代表取締役を務める会社
役員等が議決権の過半数を所有する会社、専務取締役の長男が代表取締役を務める会社
その他の関係会社
取締役執行役員
-
取締役専務執行役員
取締役常務執行役員
代表取締役副社長、子会社の取締役
筆頭株主の代表取締役
取締役常務執行役員、代表取締役社長の実弟
金融商品取引業者等
その他の関係会社、取引先
代表取締役副社長
代表取締役が議決権の過半数を所有する会社
従業員、取締役の血族
金融商品取引業者の人的および資本的関係会社
代表取締役共同最高経営責任者
取締役最高執行責任者
ベンチャーキャピタル（ファンド）、金融商品取引業者等
代表取締役CEO
取締役COO
資本的関係会社の役員
資本提携先
取締役、代表取締役社長の血族
代表取締役社長の配偶者、従業員
代表取締役社長およびその近親者が議決権を全て直接保有する会社
代表取締役社長の長男、子会社の取締役
代表取締役副社長の母
代表取締役、子会社取締役
代表取締役の血族、子会社取締役
ベンチャーキャピタル（ファンド）、取引先
代表取締役
従業員、代表取締役社長の血族
取締役の血族
取締役の配偶者
代表取締役社長の子
親会社、取引先
常務取締役の血族
兄弟会社、取引先
創業者
人的・資本的関係会社役員
ベンチャーキャピタル（ファンド）、金融商品取引業者の子会社、その他の関係会社
代表取締役会長
代表取締役会長兼社長
代表取締役社長が議決権の過半数を所有する会社
専務取締役、代表取締役会長の配偶者
代表取締役会長の血族
取引先の子会社
ベンチャーキャピタル（ファンド）、金融商品取引業者
代表取締役専務
資本業務提携先
取締役兼COO
代表取締役の血族が議決権の過半数を所有する会社
取締役副社長兼COO
専務取締役兼CFO
取締役CTO
従業員、子会社の取締役
代表取締役の配偶者
代表取締役の血族
代表取締役社長、子会社取締役、関連会社取締役
常務取締役、代表取締役社長の血族、子会社取締役
専務取締役、子会社取締役、関連会社取締役
代表取締役社長、子会社取締役
専務取締役、子会社取締役
監査役、子会社監査役
元専務取締役
代表取締役社長の配偶者、専務取締役の血族
専務取締役、代表取締役社長の配偶者の妹
常務取締役兼COO
取締役兼CFO
代表取締役社長の長男、取締役
創立者
ベンチャーキャピタル（ファンド）、清算手続き中
専務取締役、代表取締役の血族
常務取締役、代表取締役の血族
代表取締役社長兼最高経営責任者、関係会社の代表取締役
代表取締役副社長兼最高財務責任者、関係会社の監査役
関係会社の代表取締役
監査役、関係会社の監査役
取締役兼常務執行役員、関係会社の代表取締役・取締役
金融商品取引業者の人的・資本的関係会社
取引銀行
取締役副社長、子会社の代表取締役社長
代表取締役CEO、子会社役員
代表取締役COO、子会社役員
取締役、代表取締役CEOの弟、子会社役員
取締役、子会社役員
取締役、代表取締役社長の長男
役員らが議決権の過半数を所有する会社
代表取締役執行役員社長
役員の配偶者
代表取締役社長CEO
常務取締役執行役員
代表取締役CTO
代表取締役CBO
特別利害関係者など
取締役会長CIO
ベンチャーキャピタル（ファンド）、資本業務提携先
代表取締役社長の長男、常務取締役
取締役、子会社の代表取締役社長
子会社の監査役
代表取締役副社長、子会社取締役
取締役執行役員CIO
従業員など
業務提携先
取締役執行役員副社長
取締役執行役員社長室長
子会社の代表取締役社長
代表取締役社長の血族、取締役
常務取締役、代表取締役社長と取締役の義兄
代表取締役社長と取締役の血族
代表取締役社長の血族、取締役の血族
代表取締役社長執行役員CEO
従業員持ち株会
従業員、子会社の代表取締役
顧問
その他の関係会社、資本提携先
その他の関係会社、資本業務提携先
従業員（契約社員含む）
従業員、代表取締役の血族
従業員、取締役の配偶者
代表取締役社長に総株主の議決権の過半数を所有されている会社
人的・資本的関係会社
取締役（営業管掌）
専務取締役の配偶者
役員等が議決権の過半数を所有する会社、親会社
代表取締役社長、関係会社の役員
取締役最高技術責任者
取締役最高財務責任者
人的・資本的関係会社、取引先
取締役の配偶者および血族
子会社代表取締役社長
取締役CCO
代表取締役社長、代表取締役会長の長男
代表取締役社長、取締役副社長の血族
取締役副社長、代表取締役社長の血族
代表取締役社長の配偶者、取締役副社長の血族
従業員、代表取締役社長と取締役副社長の血族、専務取締役の配偶者
提携先
ベンチャーキャピタル（ファンド）、資本提携先
取締役の親族、子会社顧問
取締役、人的および資本的関係会社の役員
代表取締役社長兼CEO執行役員
CQO執行役員
CTO執行役員
CPO執行役員
同社および子会社の従業員
取締役会長、社長兼最高経営責任者
資本・業務提携先
提携先の兄弟会社
取締役CMO
常勤監査役
取締役上級執行役員
事業関係先
ﾍﾞﾝﾁｬｰｷｬﾋﾟﾀﾙ(ﾌｧﾝﾄﾞ)
取締役兼代表執行役COO、子会社役員
