日付	書類	期	連単	区分	四半期	項目名	タグ	値	単位	表示	コンテキスト	出所
2016-08-09	四半期	当期第1四半期累計				書類名	DocumentName			第1四半期決算短信〔日本基準〕（連結）	CurrentAccumulatedQ1Instant	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計				提出日	FilingDate			平成28年8月9日	CurrentAccumulatedQ1Instant	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計				会社名	CompanyName			カメイ株式会社	CurrentAccumulatedQ1Instant	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計					TokyoStockExchange			東	CurrentAccumulatedQ1Instant	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計				証券コード	SecuritiesCode			80370	CurrentAccumulatedQ1Instant	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計				URL	URL			http://www.kamei.co.jp/	CurrentAccumulatedQ1Instant	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計				代表者の役職	TitleRepresentative			代表取締役社長	CurrentAccumulatedQ1Instant	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計				代表者名	NameRepresentative			亀井文行	CurrentAccumulatedQ1Instant	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計					TitleInquiries			管理部長	CurrentAccumulatedQ1Instant	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
2016-08-09	四半期	当期第1四半期累計					NameInquiries			小林哲也	CurrentAccumulatedQ1Instant	/disc/80370/081220160729462406_tse-qcedjpsm-80370-20160729462406-ixbrl.htm
