日付	コード	企業名	iXBRLのURL	タイトル	PDFのURL
2022-08-10	3624	3624	/disc/36240/081220220810517612_tse-qnedjpsm-36240-20220810336240-ixbrl.htm	2022年９月期 第３四半期決算短信〔日本基準〕（非連結）	/disc/36240/140120220810517612.pdf
2022-05-12	3624	3624	/disc/36240/081220220512542515_tse-qnedjpsm-36240-20220512336240-ixbrl.htm	2022年９月期 第２四半期決算短信〔日本基準〕（非連結）	/disc/36240/140120220512542515.pdf
2022-02-10	3624	3624	/disc/36240/081220220210586987_tse-qnedjpsm-36240-20220210336240-ixbrl.htm	2022年９月期 第１四半期決算短信〔日本基準〕（非連結）	/disc/36240/140120220210586987.pdf
2021-11-11	3624	3624	/disc/36240/081220211111432445_tse-anedjpsm-36240-20211111336240-ixbrl.htm	2021年９月期 決算短信〔日本基準〕（非連結）	/disc/36240/140120211111432445.pdf
2021-08-12	3624	3624	/disc/36240/081220210812484829_tse-qnedjpsm-36240-20210812336240-ixbrl.htm	2021年９月期 第３四半期決算短信〔日本基準〕（非連結）	/disc/36240/140120210812484829.pdf
2021-05-13	3624	3624	/disc/36240/081220210513415865_tse-qnedjpsm-36240-20210513336240-ixbrl.htm	2021年９月期 第２四半期決算短信〔日本基準〕（非連結）	/disc/36240/140120210513415865.pdf
2021-02-12	3624	3624	/disc/36240/081220210212463168_tse-qnedjpsm-36240-20210212336240-ixbrl.htm	2021年９月期 第１四半期決算短信〔日本基準〕（非連結）	/disc/36240/140120210212463168.pdf
2020-11-12	3624	3624	/disc/36240/081220201111420853_tse-acedjpsm-36240-20201112336240-ixbrl.htm	2020年９月期 決算短信〔日本基準〕（連結）	/disc/36240/140120201111420853.pdf
2020-08-13	3624	3624	/disc/36240/081220200812480610_tse-qcedjpsm-36240-20200813336240-ixbrl.htm	2020年９月期 第３四半期決算短信〔日本基準〕（連結）	/disc/36240/140120200812480610.pdf
2020-05-14	3624	3624	/disc/36240/081220200514413588_tse-qcedjpsm-36240-20200514336240-ixbrl.htm	2020年９月期 第２四半期決算短信〔日本基準〕（連結）	/disc/36240/140120200514413588.pdf
2020-02-13	3624	3624	/disc/36240/081220200212462108_tse-qcedjpsm-36240-20200213336240-ixbrl.htm	2020年９月期 第１四半期決算短信〔日本基準〕（連結）	/disc/36240/140120200212462108.pdf
2019-11-14	3624	3624	/disc/36240/081220191114426966_tse-acedjpsm-36240-20191114336240-ixbrl.htm	2019年９月期 決算短信〔日本基準〕（連結）	/disc/36240/140120191114426966.pdf
2019-08-09	3624	3624	/disc/36240/081220190809486632_tse-qcedjpsm-36240-20190809336240-ixbrl.htm	2019年９月期 第３四半期決算短信〔日本基準〕（連結）	/disc/36240/140120190809486632.pdf
2019-05-14	3624	3624	/disc/36240/081220190514426210_tse-qcedjpsm-36240-20190514336240-ixbrl.htm	2019年９月期 第２四半期決算短信〔日本基準〕（連結）	/disc/36240/140120190514426210.pdf
2019-02-14	3624	3624	/disc/36240/081220190214477390_tse-qcedjpsm-36240-20190214336240-ixbrl.htm	2019年９月期 第１四半期決算短信〔日本基準〕（連結）	/disc/36240/140120190214477390.pdf
2018-11-13	3624	3624	/disc/36240/081220181113436421_tse-acedjpsm-36240-20181113336240-ixbrl.htm	2018年９月期決算短信〔日本基準〕（連結）	/disc/36240/140120181113436421.pdf
2018-08-09	3624	3624	/disc/36240/081220180807493209_tse-qcedjpsm-36240-20180809336240-ixbrl.htm	平成30年９月期 第３四半期決算短信〔日本基準〕（連結）	/disc/36240/140120180807493209.pdf
2018-05-08	3624	3624	/disc/36240/081220180507428664_tse-qcedjpsm-36240-20180508336240-ixbrl.htm	平成30年９月期 第２四半期決算短信〔日本基準〕（連結）	/disc/36240/140120180507428664.pdf
2018-02-01	3624	3624	/disc/36240/081220180201461673_tse-qcedjpsm-36240-20180201336240-ixbrl.htm	平成30年９月期 第１四半期決算短信〔日本基準〕（連結）	/disc/36240/140120180201461673.pdf
2017-11-07	3624	3624	/disc/36240/081220171107410670_tse-acedjpsm-36240-20171107336240-ixbrl.htm	平成29年９月期決算短信〔日本基準〕（連結）	/disc/36240/140120171107410670.pdf
2017-08-01	3624	3624	/disc/36240/081220170801445295_tse-qcedjpsm-36240-20170801336240-ixbrl.htm	平成29年９月期第３四半期決算短信〔日本基準〕（連結）	/disc/36240/140120170801445295.pdf
2017-05-01	3624	3624	/disc/36240/081220170501456561_tse-qcedjpsm-36240-20170501336240-ixbrl.htm	平成29年９月期第２四半期決算短信〔日本基準〕（連結）	/disc/36240/140120170501456561.pdf
2017-02-07	3624	3624	/disc/36240/081220170207492563_tse-qcedjpsm-36240-20170207336240-ixbrl.htm	平成29年９月期第１四半期決算短信〔日本基準〕（連結）	/disc/36240/140120170207492563.pdf
2016-11-08	3624	3624	/disc/36240/081220161108434146_tse-acedjpsm-36240-20161108336240-ixbrl.htm	平成28年９月期決算短信〔日本基準〕（連結）	/disc/36240/140120161108434146.pdf
2016-08-02	3624	3624	/disc/36240/081220160802465473_tse-qcedjpsm-36240-20160802336240-ixbrl.htm	平成28年９月期第３四半期決算短信〔日本基準〕（連結）	/disc/36240/140120160802465473.pdf
2026-08-07	3774	3774	/disc/37740/081220260805509551_tse-qcedifsm-37740-20260807337740-ixbrl.htm	2027年3月期第1四半期決算短信〔ＩＦＲＳ〕(連結)	/disc/37740/140120260805509551.pdf
2026-05-14	3774	3774	/disc/37740/081220260512526328_tse-acedifsm-37740-20260514337740-ixbrl.htm	2026年3月期 決算短信〔ＩＦＲＳ〕(連結)	/disc/37740/140120260512526328.pdf
2026-02-06	3774	3774	/disc/37740/081220260129541668_tse-qcedifsm-37740-20260206337740-ixbrl.htm	2026年3月期第3四半期決算短信〔ＩＦＲＳ〕(連結)	/disc/37740/140120260129541668.pdf
2025-11-07	3774	3774	/disc/37740/081220251027579245_tse-scedifsy-37740-20251107337740-ixbrl.htm	2026年3月期第2四半期（中間期）決算短信〔ＩＦＲＳ〕(連結)	/disc/37740/140120251027579245.pdf
2025-08-07	3774	3774	/disc/37740/081220250725520339_tse-qcedifsm-37740-20250807337740-ixbrl.htm	2026年3月期 第1四半期決算短信〔ＩＦＲＳ〕(連結)	/disc/37740/140120250725520339.pdf
2025-05-13	3774	3774	/disc/37740/081220250512540045_tse-acedifsm-37740-20250513337740-ixbrl.htm	2025年3月期 決算短信〔ＩＦＲＳ〕(連結)	/disc/37740/140120250512540045.pdf
2025-02-07	3774	3774	/disc/37740/081220250205563450_tse-qcedifsm-37740-20250207337740-ixbrl.htm	2025年3月期第3四半期決算短信〔ＩＦＲＳ〕(連結)	/disc/37740/140120250205563450.pdf
2024-11-08	3774	3774	/disc/37740/081220241105510837_tse-scedifsy-37740-20241108337740-ixbrl.htm	2025年3月期第2四半期（中間期）決算短信〔ＩＦＲＳ〕(連結)	/disc/37740/140120241105510837.pdf
2024-08-07	3774	3774	/disc/37740/081220240801560515_tse-qcedifsm-37740-20240807337740-ixbrl.htm	2025年3月期　第1四半期決算短信〔ＩＦＲＳ〕（連結）	/disc/37740/140120240801560515.pdf
2024-05-10	3774	3774	/disc/37740/081220240507582385_tse-acedifsm-37740-20240507582385-ixbrl.htm	2024年3月期 決算短信〔ＩＦＲＳ〕（連結）	/disc/37740/140120240507582385.pdf
2024-02-07	3774	3774	/disc/37740/081220240131523274_tse-qcedifsm-37740-20240131523274-ixbrl.htm	2024年3月期　第3四半期決算短信〔ＩＦＲＳ〕（連結）	/disc/37740/140120240131523274.pdf
2023-11-06	3774	3774	/disc/37740/081220231027573617_tse-qcedifsm-37740-20231027573617-ixbrl.htm	2024年3月期 第2四半期決算短信〔ＩＦＲＳ〕（連結）	/disc/37740/140120231027573617.pdf
2023-08-08	3774	3774	/disc/37740/081220230731530105_tse-qcedifsm-37740-20230731530105-ixbrl.htm	2024年3月期　第1四半期決算短信〔ＩＦＲＳ〕（連結）	/disc/37740/140120230731530105.pdf
