コード	企業名	競合リスト
302A	ビースタイルホールディングス	"[{""code"": ""151A"", ""name"": ""ダイブ""}, {""code"": ""2410"", ""name"": ""キャリアデ""}, {""code"": ""2471"", ""name"": ""エスプール""}]"
303A	visumo	"[{""code"": ""195A"", ""name"": ""ライスカレ""}, {""code"": ""220A"", ""name"": ""ファベルC""}, {""code"": ""3680"", ""name"": ""ホトリンク""}]"
304A	フォルシア	"[{""code"": ""3798"", ""name"": ""ULSG""}, {""code"": ""3835"", ""name"": ""eBASE""}, {""code"": ""6031"", ""name"": ""ZETA""}]"
298A	GVA TECH	"[{""code"": ""2158"", ""name"": ""フロンテオ""}, {""code"": ""3994"", ""name"": ""マネフォワ""}, {""code"": ""6027"", ""name"": ""弁護士DC""}]"
297A	アルピコホールディングス	"[{""code"": ""2742"", ""name"": ""ハローズ""}, {""code"": ""3232"", ""name"": ""三重交通G""}, {""code"": ""7475"", ""name"": ""アルビス""}]"
300A	MIC	"[{""code"": ""3854"", ""name"": ""アイル""}, {""code"": ""3905"", ""name"": ""データセク""}, {""code"": ""4384"", ""name"": ""ラクスル""}]"
5241	日本オーエー研究所	"[{""code"": ""3844"", ""name"": ""コムチュア""}, {""code"": ""4016"", ""name"": ""MITHD""}, {""code"": ""4826"", ""name"": ""CIJ""}]"
296A	令和アカウンティング・ホールディングス	"[{""code"": ""4310"", ""name"": ""Dインキュ""}, {""code"": ""5867"", ""name"": ""エスネット""}, {""code"": ""7038"", ""name"": ""フロンテM""}]"
299A	dely	
290A	Synspective	"[{""code"": ""186A"", ""name"": ""アストロS""}, {""code"": ""5595"", ""name"": ""QPS研究""}, {""code"": ""9348"", ""name"": ""iスペース""}]"
285A	キオクシアホールディングス	"[{""code"": ""6526"", ""name"": ""ソシオネク""}, {""code"": ""6723"", ""name"": ""ルネサスエ""}, {""code"": ""6963"", ""name"": ""ローム""}]"
291A	リスキル	"[{""code"": ""6200"", ""name"": ""インソース""}, {""code"": ""7043"", ""name"": ""アルー""}, {""code"": ""7367"", ""name"": ""セルム""}]"
289A	ファイントゥデイホールディングス	
287A	黒田グループ	"[{""code"": ""167A"", ""name"": ""リョー菱洋""}, {""code"": ""7467"", ""name"": ""萩原電気H""}, {""code"": ""8141"", ""name"": ""新光商事""}]"
288A	ラクサス・テクノロジーズ	"[{""code"": ""3396"", ""name"": ""フェリシモ""}, {""code"": ""4666"", ""name"": ""パーク24""}, {""code"": ""9557"", ""name"": ""エアクロゼ""}]"
286A	ユカリア	"[{""code"": ""2413"", ""name"": ""エムスリー""}, {""code"": ""4480"", ""name"": ""メドレー""}, {""code"": ""4483"", ""name"": ""JMDC""}]"
281A	インフォメティス	"[{""code"": ""1711"", ""name"": ""SDSHD""}, {""code"": ""5582"", ""name"": ""グリッド""}, {""code"": ""5585"", ""name"": ""エコナビ""}]"
280A	TMH	"[{""code"": ""3173"", ""name"": ""コミニクス""}, {""code"": ""7467"", ""name"": ""萩原電気H""}, {""code"": ""8141"", ""name"": ""新光商事""}]"
278A	Terra Drone	"[{""code"": ""3694"", ""name"": ""オプティム""}, {""code"": ""5597"", ""name"": ""ブルイノベ""}, {""code"": ""6232"", ""name"": ""ACSL""}]"
277A	グロービング	"[{""code"": ""6088"", ""name"": ""シグマクシ""}, {""code"": ""6532"", ""name"": ""ベイカレ""}, {""code"": ""7033"", ""name"": ""MSOL""}]"
276A	ククレブ・アドバイザーズ	"[{""code"": ""2120"", ""name"": ""ライフル""}, {""code"": ""3300"", ""name"": ""アンビDX""}, {""code"": ""3796"", ""name"": ""いい生活""}]"
274A	ガーデン	"[{""code"": ""3399"", ""name"": ""丸千代山岡""}, {""code"": ""3561"", ""name"": ""力の源HD""}, {""code"": ""9279"", ""name"": ""ギフトHD""}]"
269A	Sapeet	"[{""code"": ""4382"", ""name"": ""HEROZ""}, {""code"": ""5586"", ""name"": ""ラボロAI""}, {""code"": ""5591"", ""name"": ""アヴィレン""}]"
265A	Hmcomm	"[{""code"": ""3773"", ""name"": ""AMI""}, {""code"": ""4382"", ""name"": ""HEROZ""}, {""code"": ""5132"", ""name"": ""プラスゼロ""}]"
268A	リガク・ホールディングス	"[{""code"": ""6856"", ""name"": ""堀場製作所""}, {""code"": ""6965"", ""name"": ""浜松ホトニ""}, {""code"": ""7701"", ""name"": ""島津製作所""}]"
9023	東京地下鉄	"[{""code"": ""9001"", ""name"": ""東武鉄道""}, {""code"": ""9005"", ""name"": ""東急""}, {""code"": ""9020"", ""name"": ""JR東日本""}]"
264A	Schoo	"[{""code"": ""2464"", ""name"": ""アオバBB""}, {""code"": ""5577"", ""name"": ""アイデミー""}, {""code"": ""7353"", ""name"": ""KIYOラ""}]"
7118	伸和ホールディングス	"[{""code"": ""3175"", ""name"": ""エーピーH""}, {""code"": ""3193"", ""name"": ""エタナルH""}, {""code"": ""8207"", ""name"": ""テンアラ""}]"
262A	インターメスティック	"[{""code"": ""3046"", ""name"": ""ジンズHD""}, {""code"": ""7455"", ""name"": ""パリミキH""}, {""code"": ""9854"", ""name"": ""愛眼""}]"
261A	日水コン	"[{""code"": ""2325"", ""name"": ""NJS""}, {""code"": ""4642"", ""name"": ""オリジナル""}, {""code"": ""9621"", ""name"": ""建設技術研""}]"
260A	オルツ	"[{""code"": ""3993"", ""name"": ""PKSHA""}, {""code"": ""4011"", ""name"": ""ヘッドウォ""}, {""code"": ""5574"", ""name"": ""ABEJA""}]"
259A	ケイ・ウノ	"[{""code"": ""7937"", ""name"": ""ツツミ""}, {""code"": ""8008"", ""name"": ""4℃HLD""}, {""code"": ""8139"", ""name"": ""ナガホリ""}]"
250A	シマダヤ	"[{""code"": ""2875"", ""name"": ""東洋水産""}, {""code"": ""2897"", ""name"": ""日清食品H""}, {""code"": ""2919"", ""name"": ""マルタイ""}]"
247A	Aiロボティクス	"[{""code"": ""4936"", ""name"": ""アクシジア""}, {""code"": ""6630"", ""name"": ""ヤーマン""}, {""code"": ""7806"", ""name"": ""MTG""}]"
246A	アスア	"[{""code"": ""4019"", ""name"": ""スタメン""}, {""code"": ""4722"", ""name"": ""フューチャ""}, {""code"": ""9757"", ""name"": ""船井総研H""}]"
248A	キッズスター	"[{""code"": ""4449"", ""name"": ""ギフティ""}, {""code"": ""7865"", ""name"": ""ピープル""}, {""code"": ""9337"", ""name"": ""トリドリ""}]"
245A	INGS	"[{""code"": ""5891"", ""name"": ""魁力屋""}, {""code"": ""7674"", ""name"": ""ナッティS""}, {""code"": ""9279"", ""name"": ""ギフトHD""}]"
244A	グロースエクスパートナーズ	"[{""code"": ""3798"", ""name"": ""ULSG""}, {""code"": ""4414"", ""name"": ""フレクト""}, {""code"": ""6560"", ""name"": ""LTS""}]"
242A	リプライオリティ	"[{""code"": ""6193"", ""name"": ""バチャレク""}, {""code"": ""7031"", ""name"": ""インバテク""}]"
241A	ROXX	"[{""code"": ""2410"", ""name"": ""キャリアデ""}, {""code"": ""4318"", ""name"": ""クイック""}, {""code"": ""5126"", ""name"": ""ポーターズ""}]"
231A	Cross Eホールディングス	"[{""code"": ""6013"", ""name"": ""タクマ""}, {""code"": ""8864"", ""name"": ""空港施設""}, {""code"": ""9787"", ""name"": ""イオンディ""}]"
