コード	企業名	競合リスト
7360	オンデック	"[{""code"": ""2127"", ""name"": ""日本M&A""}, {""code"": ""6080"", ""name"": ""M&ACP""}, {""code"": ""7076"", ""name"": ""名南M&A""}]"
4884	クリングルファーマ	"[{""code"": ""4563"", ""name"": ""アンジェス""}, {""code"": ""4584"", ""name"": ""キッズWB""}, {""code"": ""4592"", ""name"": ""サンバイオ""}]"
4881	ファンペップ	"[{""code"": ""4587"", ""name"": ""ペプチD""}, {""code"": ""4599"", ""name"": ""ステムリム""}, {""code"": ""4883"", ""name"": ""モダリス""}]"
6230	SANEI	"[{""code"": ""3024"", ""name"": ""クリエイト""}, {""code"": ""5342"", ""name"": ""ジャニス工""}, {""code"": ""6484"", ""name"": ""KVK""}]"
4172	東和ハイシステム	"[{""code"": ""3671"", ""name"": ""ソフトマク""}, {""code"": ""3733"", ""name"": ""Sサービス""}, {""code"": ""4320"", ""name"": ""CEHLD""}]"
7359	東京通信	"[{""code"": ""2432"", ""name"": ""DeNA""}, {""code"": ""2489"", ""name"": ""アドウェイ""}, {""code"": ""4751"", ""name"": ""サイバーA""}]"
4171	グローバルインフォメーション	"[{""code"": ""2467"", ""name"": ""バルクHD""}, {""code"": ""3675"", ""name"": ""クロスMG""}, {""code"": ""4326"", ""name"": ""インテージ""}]"
7695	交換できるくん	"[{""code"": ""3064"", ""name"": ""Monot""}, {""code"": ""5938"", ""name"": ""LIXIL""}, {""code"": ""5947"", ""name"": ""リンナイ""}]"
4169	ENECHANGE	"[{""code"": ""3994"", ""name"": ""マネフォワ""}, {""code"": ""4478"", ""name"": ""フリー""}, {""code"": ""4480"", ""name"": ""メドレー""}]"
4170	Kaizen Platform	"[{""code"": ""4053"", ""name"": ""サンアスタ""}, {""code"": ""4490"", ""name"": ""ビザスク""}, {""code"": ""7351"", ""name"": ""グドパッチ""}]"
7342	ウェルスナビ	"[{""code"": ""4765"", ""name"": ""SBIGA""}, {""code"": ""8628"", ""name"": ""松井証券""}, {""code"": ""8698"", ""name"": ""マネクスG""}]"
4168	ヤプリ	"[{""code"": ""3923"", ""name"": ""ラクス""}, {""code"": ""4477"", ""name"": ""BASE""}, {""code"": ""4478"", ""name"": ""フリー""}]"
7358	ポピンズホールディングス	"[{""code"": ""2749"", ""name"": ""JPHLD""}, {""code"": ""4714"", ""name"": ""リソー教育""}, {""code"": ""7366"", ""name"": ""リタリコ""}]"
7694	いつも	"[{""code"": ""3134"", ""name"": ""Hamee""}, {""code"": ""3985"", ""name"": ""テモナ""}, {""code"": ""6176"", ""name"": ""ブランジス""}]"
7031	インバウンドテック	"[{""code"": ""6193"", ""name"": ""バチャレク""}, {""code"": ""7039"", ""name"": ""ブリッジI""}]"
4167	ココペリ	"[{""code"": ""3923"", ""name"": ""ラクス""}, {""code"": ""4478"", ""name"": ""フリー""}, {""code"": ""4776"", ""name"": ""サイボウズ""}]"
4166	かっこ	"[{""code"": ""3371"", ""name"": ""ソフトCH""}, {""code"": ""4496"", ""name"": ""コマース1""}, {""code"": ""4847"", ""name"": ""Iウェイブ""}]"
6229	オーケーエム	"[{""code"": ""6492"", ""name"": ""岡野バルブ""}, {""code"": ""6496"", ""name"": ""中北製作所""}, {""code"": ""6498"", ""name"": ""キッツ""}]"
4935	リベルタ	"[{""code"": ""4933"", ""name"": ""I-ne""}, {""code"": ""4936"", ""name"": ""アクシジア""}, {""code"": ""7689"", ""name"": ""コパコーポ""}]"
4020	ビートレンド	"[{""code"": ""2491"", ""name"": ""バリューC""}, {""code"": ""3666"", ""name"": ""テクノスJ""}, {""code"": ""3917"", ""name"": ""アイリッジ""}]"
4165	プレイド	"[{""code"": ""3984"", ""name"": ""ユーザーL""}, {""code"": ""4496"", ""name"": ""コマース1""}, {""code"": ""7068"", ""name"": ""フィードF""}]"
7944	ローランド	"[{""code"": ""7951"", ""name"": ""ヤマハ""}, {""code"": ""7952"", ""name"": ""河合楽器""}]"
6612	バルミューダ	"[{""code"": ""6630"", ""name"": ""ヤーマン""}, {""code"": ""6752"", ""name"": ""パナソニク""}, {""code"": ""6897"", ""name"": ""ツインバド""}]"
7092	Fast FitnessJapan	"[{""code"": ""2378"", ""name"": ""ルネサンス""}, {""code"": ""4801"", ""name"": ""セントスポ""}, {""code"": ""7085"", ""name"": ""カーブスH""}]"
4019	スタメン	"[{""code"": ""4397"", ""name"": ""チームスピ""}, {""code"": ""4435"", ""name"": ""カオナビ""}, {""code"": ""4448"", ""name"": ""クベル""}]"
9145	ビーイングホールディングス	"[{""code"": ""2384"", ""name"": ""SBSHD""}, {""code"": ""9037"", ""name"": ""ハマキョウ""}, {""code"": ""9090"", ""name"": ""AZ丸和H""}]"
4494	バリオセキュア	"[{""code"": ""3042"", ""name"": ""Sヴェイル""}, {""code"": ""3968"", ""name"": ""セグエG""}, {""code"": ""4258"", ""name"": ""網屋""}]"
4017	クリーマ	"[{""code"": ""3633"", ""name"": ""GMOペパ""}, {""code"": ""4477"", ""name"": ""BASE""}, {""code"": ""4479"", ""name"": ""マクアケ""}]"
7357	ジオコード	"[{""code"": ""4378"", ""name"": ""CINC""}, {""code"": ""7067"", ""name"": ""ブラテクノ""}, {""code"": ""9554"", ""name"": ""AViC""}]"
4016	MITホールディングス	"[{""code"": ""2335"", ""name"": ""キューブS""}, {""code"": ""3924"", ""name"": ""ランドC""}, {""code"": ""4421"", ""name"": ""DIシステ""}]"
4015	アララ	"[{""code"": ""2428"", ""name"": ""ウェルネト""}, {""code"": ""3923"", ""name"": ""ラクス""}, {""code"": ""7177"", ""name"": ""GMOFH""}]"
