コード	企業名	競合リスト
7164	全国保証	"[{""code"": ""8584"", ""name"": ""ジャックス""}, {""code"": ""8585"", ""name"": ""オリコ""}, {""code"": ""8771"", ""name"": ""eギャラン""}]"
3178	チムニー	"[{""code"": ""7522"", ""name"": ""ワタミ""}, {""code"": ""7616"", ""name"": ""コロワイド""}, {""code"": ""9979"", ""name"": ""大庄""}]"
3668	コロプラ	"[{""code"": ""2121"", ""name"": ""MIXI""}, {""code"": ""3632"", ""name"": ""グリー""}, {""code"": ""4751"", ""name"": ""サイバーA""}]"
4929	アジュバンコスメジャパン	"[{""code"": ""4919"", ""name"": ""ミルボン""}, {""code"": ""4923"", ""name"": ""コタ""}]"
3667	enish	"[{""code"": ""3662"", ""name"": ""エイチーム""}, {""code"": ""3672"", ""name"": ""オルトプラ""}, {""code"": ""3793"", ""name"": ""ドリコム""}]"
4585	UMNファーマ	
3666	テクノスジャパン	"[{""code"": ""3844"", ""name"": ""コムチュア""}, {""code"": ""4828"", ""name"": ""B-ENG""}]"
6071	IBJ	"[{""code"": ""6181"", ""name"": ""タメニー""}]"
4584	ジーンテクノサイエンス	"[{""code"": ""4552"", ""name"": ""JCRファ""}, {""code"": ""4571"", ""name"": ""ナノMRN""}, {""code"": ""4582"", ""name"": ""シンバイオ""}]"
3263	エストラスト	
6070	キャリアリンク	"[{""code"": ""2168"", ""name"": ""パソナG""}, {""code"": ""2181"", ""name"": ""パーソルH""}, {""code"": ""6028"", ""name"": ""テクノプロ""}]"
3177	ありがとうサービス	"[{""code"": ""3093"", ""name"": ""トレファク""}, {""code"": ""3181"", ""name"": ""買取王国""}, {""code"": ""9927"", ""name"": ""ワットマン""}]"
3896	阿波製紙	"[{""code"": ""6467"", ""name"": ""ニチダイ""}, {""code"": ""7265"", ""name"": ""エイケン工""}]"
3176	三洋貿易	"[{""code"": ""8103"", ""name"": ""明和産業""}]"
6069	トレンダーズ	"[{""code"": ""195A"", ""name"": ""ライスカレ""}, {""code"": ""2436"", ""name"": ""共同PR""}, {""code"": ""7069"", ""name"": ""サイババズ""}]"
9386	日本コンセプト	"[{""code"": ""9074"", ""name"": ""日本石油輸""}, {""code"": ""9381"", ""name"": ""AIT""}, {""code"": ""9384"", ""name"": ""内外TL""}]"
6067	メディアフラッグ	
3175	エー・ピーカンパニー	"[{""code"": ""3073"", ""name"": ""DDG""}, {""code"": ""3198"", ""name"": ""SFPHD""}, {""code"": ""7918"", ""name"": ""ヴィアHD""}]"
9201	日本航空（JAL）	"[{""code"": ""9202"", ""name"": ""ANAHD""}]"
6065	サクセスホールディングス	
3665	エニグモ	"[{""code"": ""3092"", ""name"": ""ZOZO""}, {""code"": ""4689"", ""name"": ""ラインヤフ""}]"
9419	ワイヤレスゲート	"[{""code"": ""3774"", ""name"": ""IIJ""}, {""code"": ""9424"", ""name"": ""日本通信""}]"
6064	アクトコール	
3664	モブキャスト	"[{""code"": ""3656"", ""name"": ""KLab""}, {""code"": ""3662"", ""name"": ""エイチーム""}, {""code"": ""3668"", ""name"": ""コロプラ""}]"
6618	大泉製作所	
3174	ハピネス・アンド・ディ	"[{""code"": ""2736"", ""name"": ""フェスタH""}, {""code"": ""9878"", ""name"": ""セキド""}, {""code"": ""9990"", ""name"": ""サックバH""}]"
6063	日本エマージェンシーアシスタンス	"[{""code"": ""4290"", ""name"": ""プレステI""}, {""code"": ""8630"", ""name"": ""SOMPO""}]"
2930	北の達人コーポレーション	"[{""code"": ""2927"", ""name"": ""AFCHD""}, {""code"": ""2931"", ""name"": ""ユーグレナ""}, {""code"": ""4934"", ""name"": ""Pアンチエ""}]"
6062	チャーム・ケア・コーポレーション	"[{""code"": ""2373"", ""name"": ""ケア21""}, {""code"": ""2435"", ""name"": ""シダー""}]"
6061	ユニバーサル園芸社	"[{""code"": ""4665"", ""name"": ""ダスキン""}, {""code"": ""7555"", ""name"": ""大田花き""}]"
6060	こころネット	"[{""code"": ""2344"", ""name"": ""平安レイ""}, {""code"": ""2485"", ""name"": ""ティア""}]"
6059	ウチヤマホールディングス	"[{""code"": ""6062"", ""name"": ""チャムケア""}]"
3662	エイチーム	"[{""code"": ""3679"", ""name"": ""じげん""}, {""code"": ""4376"", ""name"": ""くふうCo""}, {""code"": ""7047"", ""name"": ""ポート""}]"
6058	ベクトル	"[{""code"": ""2180"", ""name"": ""サニサイG""}, {""code"": ""2436"", ""name"": ""共同PR""}, {""code"": ""2449"", ""name"": ""プラップJ""}]"
7157	ライフネット生命	"[{""code"": ""7181"", ""name"": ""かんぽ生命""}, {""code"": ""8750"", ""name"": ""第一生命H""}, {""code"": ""8795"", ""name"": ""T&DHD""}]"
3661	エムアップ	"[{""code"": ""3641"", ""name"": ""パピレス""}, {""code"": ""3710"", ""name"": ""ジョルダン""}, {""code"": ""4838"", ""name"": ""スペススキ""}]"
3173	大阪工機	"[{""code"": ""7128"", ""name"": ""フルマルH""}, {""code"": ""7624"", ""name"": ""NaITO""}, {""code"": ""9932"", ""name"": ""杉本商事""}]"
3660	アイスタイル	"[{""code"": ""2193"", ""name"": ""クックパド""}, {""code"": ""2371"", ""name"": ""カカクコム""}, {""code"": ""2413"", ""name"": ""エムスリー""}]"
3172	ティーライフ	"[{""code"": ""2385"", ""name"": ""総医研HD""}, {""code"": ""2929"", ""name"": ""ファーマF""}, {""code"": ""2930"", ""name"": ""北の達人""}]"
3171	マックスバリュ九州	
6090	ヒューマンメタボロームテクノロジー	"[{""code"": ""4572"", ""name"": ""カルナBS""}]"
4245	ダイキアクシス	"[{""code"": ""6328"", ""name"": ""荏原実業""}, {""code"": ""6403"", ""name"": ""水道機工""}, {""code"": ""6489"", ""name"": ""前沢工業""}]"
6089	ウィルグループ	"[{""code"": ""2462"", ""name"": ""ライク""}, {""code"": ""4433"", ""name"": ""ヒトコミュ""}]"
7167	足利ホールディングス	"[{""code"": ""7186"", ""name"": ""コンコルデ""}, {""code"": ""8331"", ""name"": ""千葉銀行""}, {""code"": ""8334"", ""name"": ""群馬銀行""}]"
6086	シンプロメンテ	"[{""code"": ""4658"", ""name"": ""日本空調サ""}, {""code"": ""6044"", ""name"": ""三機サビス""}, {""code"": ""9616"", ""name"": ""共立メンテ""}]"
6088	シグマクシス	"[{""code"": ""6532"", ""name"": ""ベイカレ""}, {""code"": ""7033"", ""name"": ""MSOL""}, {""code"": ""9168"", ""name"": ""ライズCG""}]"
3294	イーグランド	"[{""code"": ""2975"", ""name"": ""スタマイカ""}, {""code"": ""3299"", ""name"": ""ムゲンE""}, {""code"": ""8940"", ""name"": ""インテリク""}]"
6087	アビスト	"[{""code"": ""2136"", ""name"": ""ヒップ""}, {""code"": ""2163"", ""name"": ""アルトナー""}, {""code"": ""4641"", ""name"": ""アルプス技""}]"
6085	アーキテクツスタジオジャパン	"[{""code"": ""1419"", ""name"": ""タマホーム""}, {""code"": ""3288"", ""name"": ""オプンHG""}]"
3293	アズマハウス	"[{""code"": ""1419"", ""name"": ""タマホーム""}, {""code"": ""8860"", ""name"": ""フジ住宅""}, {""code"": ""8928"", ""name"": ""穴吹興産""}]"
1429	日本アクア	"[{""code"": ""4216"", ""name"": ""旭有機材""}, {""code"": ""7871"", ""name"": ""フクビ化学""}, {""code"": ""7898"", ""name"": ""ウッドワン""}]"
3682	エンカレッジ・テクノロジ	"[{""code"": ""2158"", ""name"": ""フロンテオ""}, {""code"": ""2326"", ""name"": ""Dアーツ""}]"
6084	オウチーノ	
3681	ブイキューブ	"[{""code"": ""4308"", ""name"": ""Jストリム""}]"
3680	ホットリンク	"[{""code"": ""195A"", ""name"": ""ライスカレ""}, {""code"": ""3905"", ""name"": ""データセク""}, {""code"": ""6069"", ""name"": ""トレンダー""}]"
4588	オンコリスバイオファーマ	"[{""code"": ""4565"", ""name"": ""ネクセラP""}, {""code"": ""4579"", ""name"": ""ラクオリア""}, {""code"": ""4582"", ""name"": ""シンバイオ""}]"
6082	ライドオンエクスプレス	"[{""code"": ""2440"", ""name"": ""ぐるなび""}, {""code"": ""2484"", ""name"": ""出前館""}, {""code"": ""3182"", ""name"": ""オイラ大地""}]"
6081	アライドアーキテクツ	"[{""code"": ""2130"", ""name"": ""メンバーズ""}, {""code"": ""2389"", ""name"": ""デジタルH""}, {""code"": ""3680"", ""name"": ""ホトリンク""}]"
3679	じげん	"[{""code"": ""2371"", ""name"": ""カカクコム""}, {""code"": ""6054"", ""name"": ""リブセンス""}, {""code"": ""7047"", ""name"": ""ポート""}]"
3678	メディアドゥ	"[{""code"": ""3641"", ""name"": ""パピレス""}, {""code"": ""9467"", ""name"": ""アルファP""}, {""code"": ""9468"", ""name"": ""カドカワ""}]"
6080	M&Aキャピタルパートナーズ	"[{""code"": ""2127"", ""name"": ""日本M&A""}, {""code"": ""4792"", ""name"": ""山田コンサ""}, {""code"": ""6196"", ""name"": ""ストライク""}]"
3189	ANAP	"[{""code"": ""2685"", ""name"": ""アダストリ""}, {""code"": ""7606"", ""name"": ""Uアローズ""}]"
3677	システム情報	
6079	エナリス	
6078	バリューHR	"[{""code"": ""8769"", ""name"": ""アドバRM""}, {""code"": ""8876"", ""name"": ""リロG""}]"
