コード	企業名	競合リスト
4930	グラフィコ	
6186	一蔵	"[{""code"": ""2499"", ""name"": ""日本和装H""}, {""code"": ""7615"", ""name"": ""京都きもの""}]"
3465	ケイアイスター不動産	"[{""code"": ""3288"", ""name"": ""オプンHG""}, {""code"": ""8917"", ""name"": ""F住建""}, {""code"": ""8999"", ""name"": ""グランデH""}]"
3929	ソーシャルワイヤー	"[{""code"": ""2436"", ""name"": ""共同PR""}, {""code"": ""3922"", ""name"": ""PRTIM""}, {""code"": ""6058"", ""name"": ""ベクトル""}]"
6185	ソネット・メディア・ネットワークス	"[{""code"": ""2497"", ""name"": ""ユナイテド""}, {""code"": ""3688"", ""name"": ""CARTA""}, {""code"": ""6094"", ""name"": ""フリークO""}]"
3464	プロパティエージェント	
3928	マイネット	"[{""code"": ""3758"", ""name"": ""アエリア""}, {""code"": ""3904"", ""name"": ""カヤック""}]"
9416	ビジョン	"[{""code"": ""5587"", ""name"": ""Iバウンド""}, {""code"": ""9419"", ""name"": ""ワイヤG""}, {""code"": ""9424"", ""name"": ""日本通信""}]"
3927	アークン	"[{""code"": ""2326"", ""name"": ""Dアーツ""}, {""code"": ""3042"", ""name"": ""Sヴェイル""}, {""code"": ""3692"", ""name"": ""FFRIS""}]"
6238	フリュー	"[{""code"": ""3665"", ""name"": ""エニグモ""}, {""code"": ""7832"", ""name"": ""バンナムH""}, {""code"": ""7844"", ""name"": ""マーベラス""}]"
3419	アートグリーン	"[{""code"": ""3041"", ""name"": ""ビュー花壇""}, {""code"": ""6061"", ""name"": ""ユニバ園芸""}, {""code"": ""7555"", ""name"": ""大田花き""}]"
4595	ミズホメディー	"[{""code"": ""197A"", ""name"": ""タウンズ""}, {""code"": ""4549"", ""name"": ""栄研化学""}, {""code"": ""4556"", ""name"": ""カイノス""}]"
3926	オープンドア	"[{""code"": ""2371"", ""name"": ""カカクコム""}, {""code"": ""3665"", ""name"": ""エニグモ""}, {""code"": ""3679"", ""name"": ""じげん""}]"
6464	ツバキ・ナカシマ	"[{""code"": ""6471"", ""name"": ""日本精工""}, {""code"": ""6472"", ""name"": ""NTN""}, {""code"": ""7726"", ""name"": ""黒田精工""}]"
3925	ダブルスタンダード	"[{""code"": ""3666"", ""name"": ""テクノスJ""}, {""code"": ""3694"", ""name"": ""オプティム""}, {""code"": ""3798"", ""name"": ""ULSG""}]"
3924	ランドコンピュータ	"[{""code"": ""3844"", ""name"": ""コムチュア""}, {""code"": ""3915"", ""name"": ""テラスカイ""}, {""code"": ""4434"", ""name"": ""サーバワク""}]"
3923	ラクス	"[{""code"": ""2492"", ""name"": ""インフォM""}, {""code"": ""4443"", ""name"": ""サンサン""}, {""code"": ""4776"", ""name"": ""サイボウズ""}]"
6184	鎌倉新書	"[{""code"": ""2120"", ""name"": ""ライフル""}, {""code"": ""6027"", ""name"": ""弁護士DC""}, {""code"": ""6095"", ""name"": ""メドピア""}]"
1435	インベスターズクラウド	"[{""code"": ""2120"", ""name"": ""ライフル""}, {""code"": ""3679"", ""name"": ""じげん""}, {""code"": ""6037"", ""name"": ""楽待""}]"
3463	いちごホテルリート投資法人	
3921	ネオジャパン	"[{""code"": ""3850"", ""name"": ""NTTDI""}, {""code"": ""4776"", ""name"": ""サイボウズ""}]"
6183	ベルシステム24ホールディングス	"[{""code"": ""4290"", ""name"": ""プレステI""}, {""code"": ""9715"", ""name"": ""トラコスモ""}]"
6182	ロゼッタ	"[{""code"": ""2483"", ""name"": ""翻訳センタ""}, {""code"": ""3773"", ""name"": ""AMI""}, {""code"": ""4388"", ""name"": ""エーアイ""}]"
7183	あんしん保証	"[{""code"": ""7187"", ""name"": ""Jリース""}, {""code"": ""7191"", ""name"": ""イントラス""}, {""code"": ""7196"", ""name"": ""Casa""}]"
6178	日本郵政	"[{""code"": ""8306"", ""name"": ""三菱UFJ""}, {""code"": ""8750"", ""name"": ""第一生命H""}, {""code"": ""9064"", ""name"": ""ヤマトHD""}]"
7182	ゆうちょ銀行	"[{""code"": ""8306"", ""name"": ""三菱UFJ""}, {""code"": ""8316"", ""name"": ""三井住友F""}, {""code"": ""8411"", ""name"": ""みずほFG""}]"
