コード	企業名	競合リスト
4428	リンク	"[{""code"": ""2492"", ""name"": ""インフォM""}, {""code"": ""3814"", ""name"": ""アルファク""}, {""code"": ""4287"", ""name"": ""ジャストP""}]"
7330	レオス・キャピタルワークス	
7048	ベルトラ	"[{""code"": ""6030"", ""name"": ""アドベンチ""}, {""code"": ""6191"", ""name"": ""エアトリ""}, {""code"": ""6548"", ""name"": ""旅工房""}]"
4427	EduLab	"[{""code"": ""2345"", ""name"": ""クシム""}, {""code"": ""2464"", ""name"": ""アオバBB""}, {""code"": ""4421"", ""name"": ""DIシステ""}]"
7047	ポート	"[{""code"": ""7373"", ""name"": ""アイドマH""}, {""code"": ""7685"", ""name"": ""バイセル""}]"
7037	テノ．ホールディングス	"[{""code"": ""2749"", ""name"": ""JPHLD""}, {""code"": ""6189"", ""name"": ""グロバルK""}]"
6232	自律制御システム研究所	"[{""code"": ""3993"", ""name"": ""PKSHA""}, {""code"": ""4382"", ""name"": ""HEROZ""}, {""code"": ""4425"", ""name"": ""Kudan""}]"
4424	Amazia	"[{""code"": ""3641"", ""name"": ""パピレス""}, {""code"": ""3981"", ""name"": ""ビーグリー""}, {""code"": ""7035"", ""name"": ""&ファクト""}]"
7671	AmidAホールディングス	
4425	Kudan	"[{""code"": ""3653"", ""name"": ""モルフォ""}, {""code"": ""3787"", ""name"": ""テクノマセ""}, {""code"": ""3993"", ""name"": ""PKSHA""}]"
9434	ソフトバンク	"[{""code"": ""4755"", ""name"": ""楽天G""}, {""code"": ""9432"", ""name"": ""NTT""}, {""code"": ""9433"", ""name"": ""KDDI""}]"
7046	テクノスデータサイエンス・エンジニアリング	"[{""code"": ""3993"", ""name"": ""PKSHA""}, {""code"": ""4382"", ""name"": ""HEROZ""}]"
1450	田中建設工業	"[{""code"": ""1433"", ""name"": ""ベステラ""}, {""code"": ""5698"", ""name"": ""エンビプロ""}, {""code"": ""5699"", ""name"": ""イボキン""}]"
7045	ツクイスタッフ	
2970	グッドライフカンパニー	"[{""code"": ""3489"", ""name"": ""フェイスN""}, {""code"": ""3497"", ""name"": ""LTech""}, {""code"": ""5535"", ""name"": ""ミガロHD""}]"
7670	オーウエル	"[{""code"": ""8012"", ""name"": ""長瀬産業""}, {""code"": ""8098"", ""name"": ""稲畑産業""}, {""code"": ""8103"", ""name"": ""明和産業""}]"
1449	FUJIジャパン	"[{""code"": ""1401"", ""name"": ""エムビエス""}, {""code"": ""1439"", ""name"": ""安江工務店""}, {""code"": ""1738"", ""name"": ""ニットー""}]"
4423	アルテリア・ネットワークス	
