コード	企業名	競合リスト
5892	yutori	"[{""code"": ""3185"", ""name"": ""夢展望""}, {""code"": ""3558"", ""name"": ""ジェイドG""}, {""code"": ""8127"", ""name"": ""ヤマトイン""}]"
5870	ナルネットコミュニケーションズ	"[{""code"": ""7199"", ""name"": ""プレミアG""}, {""code"": ""9619"", ""name"": ""イチネンH""}]"
5869	早稲田学習研究会	"[{""code"": ""4720"", ""name"": ""城南進学研""}, {""code"": ""9769"", ""name"": ""学究社""}, {""code"": ""9795"", ""name"": ""ステップ""}]"
5621	ヒューマンテクノロジーズ	"[{""code"": ""4013"", ""name"": ""勤次郎""}, {""code"": ""4397"", ""name"": ""チームスピ""}, {""code"": ""6436"", ""name"": ""アマノ""}]"
5619	マーソ	"[{""code"": ""2477"", ""name"": ""手間いらず""}, {""code"": ""4483"", ""name"": ""JMDC""}, {""code"": ""6078"", ""name"": ""バリュHR""}]"
5618	ナイル	"[{""code"": ""4053"", ""name"": ""サンアスタ""}, {""code"": ""4499"", ""name"": ""Speee""}, {""code"": ""9211"", ""name"": ""エフコード""}]"
5868	ロココ	"[{""code"": ""3924"", ""name"": ""ランドC""}, {""code"": ""4491"", ""name"": ""コンピュM""}, {""code"": ""6193"", ""name"": ""バチャレク""}]"
5867	エスネットワークス	"[{""code"": ""4792"", ""name"": ""山田コンサ""}, {""code"": ""7038"", ""name"": ""フロンテM""}, {""code"": ""9644"", ""name"": ""タナベCG""}]"
5616	雨風太陽	"[{""code"": ""3182"", ""name"": ""オイラ大地""}, {""code"": ""7114"", ""name"": ""フディソン""}]"
5891	魁力屋	"[{""code"": ""3399"", ""name"": ""丸千代山岡""}, {""code"": ""7554"", ""name"": ""幸楽苑""}, {""code"": ""9279"", ""name"": ""ギフトHD""}]"
5599	S&J	"[{""code"": ""3692"", ""name"": ""FFRIS""}, {""code"": ""4417"", ""name"": ""Gセキュリ""}, {""code"": ""4493"", ""name"": ""Cクラウド""}]"
5597	ブルーイノベーション	"[{""code"": ""3694"", ""name"": ""オプティム""}, {""code"": ""5137"", ""name"": ""スマドラ""}, {""code"": ""6232"", ""name"": ""ACSL""}]"
5596	アウトルックコンサルティング	"[{""code"": ""3836"", ""name"": ""アバントG""}, {""code"": ""4071"", ""name"": ""Pアルファ""}, {""code"": ""4828"", ""name"": ""B-ENG""}]"
5595	QPS研究所	"[{""code"": ""186A"", ""name"": ""アストロS""}, {""code"": ""3741"", ""name"": ""セック""}, {""code"": ""9348"", ""name"": ""iスペース""}]"
4197	アスマーク	"[{""code"": ""3695"", ""name"": ""GMOリサ""}, {""code"": ""4196"", ""name"": ""ネオマーケ""}, {""code"": ""6555"", ""name"": ""MS&コン""}]"
