コード	企業名	競合リスト
9342	スマサポ	"[{""code"": ""3796"", ""name"": ""いい生活""}, {""code"": ""4054"", ""name"": ""日本情報ク""}, {""code"": ""9252"", ""name"": ""ラスワンM""}]"
5246	ELEMENTS	"[{""code"": ""3788"", ""name"": ""GMOGS""}, {""code"": ""3996"", ""name"": ""サインポス""}, {""code"": ""5026"", ""name"": ""トリプルI""}]"
5247	BTM	"[{""code"": ""4371"", ""name"": ""コアコンT""}, {""code"": ""7352"", ""name"": ""ツーストン""}, {""code"": ""9556"", ""name"": ""イントルプ""}]"
7115	アルファパーチェス	"[{""code"": ""3064"", ""name"": ""Monot""}, {""code"": ""7476"", ""name"": ""アズワン""}, {""code"": ""9962"", ""name"": ""ミスミG""}]"
7116	ダイワ通信	"[{""code"": ""4264"", ""name"": ""セキュア""}, {""code"": ""4375"", ""name"": ""セーフィー""}]"
5075	アップコン	"[{""code"": ""1447"", ""name"": ""SAAFH""}, {""code"": ""1730"", ""name"": ""麻生フオム""}]"
9340	アソインターナショナル	"[{""code"": ""3540"", ""name"": ""歯愛メディ""}, {""code"": ""7716"", ""name"": ""ナカニシ""}, {""code"": ""7979"", ""name"": ""松風""}]"
9341	GENOVA	"[{""code"": ""2150"", ""name"": ""ケアネット""}, {""code"": ""3645"", ""name"": ""メディカネ""}, {""code"": ""6095"", ""name"": ""メドピア""}]"
5836	エージェント・インシュアランス・グループ	"[{""code"": ""7343"", ""name"": ""ブロドMd""}, {""code"": ""7388"", ""name"": ""FPパトナ""}, {""code"": ""8798"", ""name"": ""アドバンス""}]"
5244	jig.jp	"[{""code"": ""5031"", ""name"": ""モイ""}, {""code"": ""5032"", ""name"": ""エニーカラ""}, {""code"": ""5253"", ""name"": ""カバー""}]"
9339	コーチ・エィ	"[{""code"": ""2170"", ""name"": ""リンクモチ""}, {""code"": ""7043"", ""name"": ""アルー""}, {""code"": ""9562"", ""name"": ""ビジネスC""}]"
2937	サンクゼール	"[{""code"": ""2809"", ""name"": ""キユーピー""}, {""code"": ""3038"", ""name"": ""神戸物産""}, {""code"": ""7453"", ""name"": ""良品計画""}]"
